YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 03 31 12 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 14 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 16 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 17 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 18 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 19 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 20 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 22 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 03 31 23  65  6.4  7.8 99.00 99.00 99.00 999 1004.9   2.3   1.3 999.0 99.0
1999 04 01 00  52  5.9  6.7   .82  4.76  3.94 999 1005.8   2.2   1.3 999.0 99.0
1999 04 01 01  50  7.2  8.6   .83  4.76  3.82 999 1006.7   1.7   1.3 999.0 99.0
1999 04 01 02  65  7.3  8.7 99.00 99.00 99.00 999 1006.9   2.0   1.3 999.0 99.0
1999 04 01 03  55  8.8 10.9 99.00 99.00 99.00 999 1007.6   2.0   1.3 999.0 99.0
1999 04 01 04  52  9.4 11.2  1.12  4.55  3.86 999 1008.3   1.9   1.3 999.0 99.0
1999 04 01 05  46  8.3 10.2  1.26  5.00  4.11 999 1008.9   1.7   1.3 999.0 99.0
1999 04 01 06  43  9.4 11.0 99.00 99.00 99.00 999 1009.3   1.7   1.3 999.0 99.0
1999 04 01 07  40  8.9 10.8  1.32  5.26  4.22 999 1010.1   1.3   1.3 999.0 99.0
1999 04 01 08  43  9.8 11.6  1.38  5.26  4.20 999 1010.4   1.2   1.3 999.0 99.0
1999 04 01 09  45 10.4 12.3 99.00 99.00 99.00 999 1010.8    .9   1.3 999.0 99.0
1999 04 01 10  53 10.7 13.3 99.00 99.00 99.00 999 1011.5    .8   1.3 999.0 99.0
1999 04 01 11  54 11.2 13.5  1.76  5.88  4.61 999 1011.8    .5   1.3 999.0 99.0
1999 04 01 12  48 11.5 14.0 99.00 99.00 99.00 999 1013.0    .1   1.3 999.0 99.0
1999 04 01 13  52 11.7 14.2  2.02  5.88  4.78 999 1014.0   -.2   1.3 999.0 99.0
1999 04 01 14  55 11.5 13.9 99.00 99.00 99.00 999 1014.2   -.4   1.3 999.0 99.0
1999 04 01 15  42 11.1 13.2 99.00 99.00 99.00 999 1014.2   -.4   1.3 999.0 99.0
1999 04 01 16  52 11.7 14.3 99.00 99.00 99.00 999 1014.1   -.3   1.3 999.0 99.0
1999 04 01 17  61 11.5 13.5 99.00 99.00 99.00 999 1014.5    .0   1.3 999.0 99.0
1999 04 01 18  52 12.1 14.1  2.09  6.67  4.95 999 1014.8   -.2   1.3 999.0 99.0
1999 04 01 19  57 11.6 14.3 99.00 99.00 99.00 999 1015.1   -.3   1.3 999.0 99.0
1999 04 01 20  56 12.6 15.3 99.00 99.00 99.00 999 1014.9    .0   1.3 999.0 99.0
1999 04 01 21  59 13.0 15.0 99.00 99.00 99.00 999 1014.8    .1   1.3 999.0 99.0
1999 04 01 22  63 12.9 15.5 99.00 99.00 99.00 999 1014.8    .4   1.3 999.0 99.0
1999 04 01 23  66 13.2 16.1 99.00 99.00 99.00 999 1014.4    .4   1.3 999.0 99.0
1999 04 02 00  56 13.5 17.1 99.00 99.00 99.00 999 1014.1    .1   1.3 999.0 99.0
1999 04 02 01  54 13.0 15.7 99.00 99.00 99.00 999 1015.0    .4   1.3 999.0 99.0
1999 04 02 02  61 12.2 14.9 99.00 99.00 99.00 999 1015.8    .4   1.3 999.0 99.0
1999 04 02 03  60 13.2 16.0 99.00 99.00 99.00 999 1015.2    .5   1.3 999.0 99.0
1999 04 02 04  61 13.2 16.2 99.00 99.00 99.00 999 1014.7    .8   1.3 999.0 99.0
1999 04 02 05  66 11.9 15.0 99.00 99.00 99.00 999 1014.2    .9   1.3 999.0 99.0
1999 04 02 06  65 10.8 13.4 99.00 99.00 99.00 999 1014.2   1.2   1.3 999.0 99.0
1999 04 02 07  66 10.4 12.6 99.00 99.00 99.00 999 1013.7   1.6   1.3 999.0 99.0
1999 04 02 08  69 10.0 11.6 99.00 99.00 99.00 999 1013.0   1.6   1.3 999.0 99.0
1999 04 02 09  66  9.1 11.2 99.00 99.00 99.00 999 1012.5   1.6   1.3 999.0 99.0
1999 04 02 10  70  8.6 10.2 99.00 99.00 99.00 999 1011.9   1.7   1.3 999.0 99.0
