#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 12 16 50  82  4.2  4.7  0.19  4.35  4.08 999 1017.7   2.8 999.0 999.0 99.0 99.00
2008 05 12 17 50  62  3.8  4.4  0.17  4.35  3.88 999 1017.6   2.6   2.2 999.0 99.0 99.00
2008 05 12 18 50  42  3.4  4.0  0.15  4.17  3.81 999 1017.9   2.6   2.2 999.0 99.0 99.00
2008 05 12 19 50  41  4.7  5.3  0.15 99.00  3.83 999 1018.0   2.8   2.2 999.0 99.0 99.00
2008 05 12 20 50  62  5.9  6.8  0.16  4.35  3.58 999 1017.6   2.6   2.1 999.0 99.0 99.00
2008 05 12 21 50  66  6.7  9.6  0.24  2.63  2.91 999 1017.5   2.6   2.1 999.0 99.0 99.00
2008 05 12 22 50  75  7.5  8.9  0.41  3.03  2.98 999 1017.2   3.0   2.1 999.0 99.0 99.00
2008 05 12 23 50  75  7.5  8.6  0.46  3.45  3.12 999 1016.3   3.0   2.1 999.0 99.0 99.00
2008 05 13 00 50  81  9.2 10.6  0.70  3.57  3.34 999 1015.2   3.6   2.0 999.0 99.0 99.00
2008 05 13 01 50  85  6.9  8.3  0.86  4.00  3.63 999 1016.2   3.6   2.0 999.0 99.0 99.00
2008 05 13 02 50  78  6.8  7.8  0.84  4.00  3.76 999 1016.3   3.1   2.0 999.0 99.0 99.00
2008 05 13 03 50  73  7.1  8.2  0.70  4.17  3.62 999 1016.2   3.0   2.0 999.0 99.0 99.00
2008 05 13 04 50  75  8.2  9.7  0.76  4.00  3.54 999 1016.0   3.2   2.0 999.0 99.0 99.00
2008 05 13 05 50  85  9.1 10.6  0.86  4.00  3.56 999 1015.9   3.4   2.0 999.0 99.0 99.00
2008 05 13 06 50  91  9.5 10.9  0.88  4.17  3.62 999 1015.4   3.2   2.0 999.0 99.0 99.00
2008 05 13 07 50  94 10.3 11.8  0.89  4.00  3.58 999 1014.4   3.2   2.0 999.0 99.0 99.00
2008 05 13 08 50  98  9.2 11.1  0.98  4.00  3.65 999 1014.1   3.2   2.0 999.0 99.0 99.00
2008 05 13 09 50  99  8.9 10.6  0.95  4.35  3.74 999 1013.4   3.4   2.0 999.0 99.0 99.00
2008 05 13 10 50 101  9.7 11.5  0.96  4.35  3.78 999 1012.6   3.8   2.0 999.0 99.0 99.00
2008 05 13 11 50 106  9.0 10.3  0.97  4.55  3.85 999 1011.8   3.9   2.0 999.0 99.0 99.00
2008 05 13 12 50 108  7.6  9.1  0.94  4.55  3.88 999 1011.2   4.2   2.0 999.0 99.0 99.00
2008 05 13 13 50 103  5.8  7.1  0.89  4.55  3.83 999 1010.2   4.4   2.0 999.0 99.0 99.00
2008 05 13 14 50  61  2.4  3.0  0.68  4.55  3.80 999 1010.4   3.7   2.0 999.0 99.0 99.00
2008 05 13 15 50  81  4.0  4.5  0.64  4.17  3.71 999 1009.2   4.0   2.0 999.0 99.0 99.00
2008 05 13 16 50  83  4.4  5.1  0.73  4.00  3.84 999 1008.3   3.8   2.0 999.0 99.0 99.00
2008 05 13 17 50  56  3.9  4.4  0.77  4.35  3.88 999 1007.5   3.4   2.1 999.0 99.0 99.00
2008 05 13 18 50  53  3.6  4.1  0.66  4.00  3.77 999 1007.3   3.3   2.0 999.0 99.0 99.00
2008 05 13 19 50  69  3.7  4.7  0.54  3.85  3.70 999 1006.8   3.5   2.0 999.0 99.0 99.00
2008 05 13 20 50  24  1.5  2.8  0.49  4.00  3.60 999 1007.1   3.3   2.0 999.0 99.0 99.00
2008 05 13 21 50   3  2.3  3.6  0.44  4.00  3.57 999 1007.3   3.2   2.0 999.0 99.0 99.00
2008 05 13 22 50  38  0.9  1.3  0.40  3.85  3.52 999 1007.5   3.2   2.0 999.0 99.0 99.00
2008 05 13 23 50  73  1.2  1.3  0.37  3.70  3.46 999 1007.1   3.8   2.0 999.0 99.0 99.00
2008 05 14 00 50 144  2.2  2.8  0.33  3.23  3.43 999 1007.1   3.4   2.0 999.0 99.0 99.00
2008 05 14 01 50 205  4.3  5.6  0.33  3.85  3.51 999 1007.7   3.9   2.0 999.0 99.0 99.00
2008 05 14 02 50 251  5.1  6.7  0.34  4.55  3.57 999 1008.2   2.9   2.0 999.0 99.0 99.00
2008 05 14 03 50 277  7.3  9.0  0.36  2.78  3.28 999 1007.9   3.4   2.0 999.0 99.0 99.00
2008 05 14 04 50 284  6.6  8.0  0.49  2.94  3.11 999 1008.1   4.1   2.0 999.0 99.0 99.00
2008 05 14 05 50 285  7.2  8.0  0.57  3.13  3.20 999 1008.1   4.0   2.0 999.0 99.0 99.00
2008 05 14 06 50 283  6.4  7.5  0.59  3.57  3.30 999 1008.6   3.7   2.0 999.0 99.0 99.00
2008 05 14 07 50 302  7.6  9.2  0.70  3.85  3.49 999 1008.8   3.8   2.0 999.0 99.0 99.00
2008 05 14 08 50 299  6.3  7.6  0.67  3.85  3.59 999 1009.4   3.5   2.0 999.0 99.0 99.00
2008 05 14 09 50 325  7.7  9.8  0.67  3.85  3.46 999 1009.8   3.5   2.0 999.0 99.0 99.00
2008 05 14 10 50 313  5.8  6.8  0.77  4.00  3.60 999 1010.7   3.2   2.0 999.0 99.0 99.00
2008 05 14 11 50 303  6.5  7.7  0.74  3.85  3.61 999 1011.6   3.4   2.0 999.0 99.0 99.00
2008 05 14 12 50 323  7.3  8.1  0.62  3.57  3.46 999 1012.3   3.4   2.0 999.0 99.0 99.00
2008 05 14 13 50 308  5.5  6.2  0.64  3.70  3.55 999 1013.0   3.3   2.1 999.0 99.0 99.00
2008 05 14 14 50 274  5.0  5.8  0.54  3.85  3.40 999 1013.8   3.2   2.1 999.0 99.0 99.00
2008 05 14 15 50 278  5.3  5.9  0.42  3.85  3.36 999 1014.1   3.4   2.1 999.0 99.0 99.00
2008 05 14 16 50 257  5.2  6.0  0.38  3.57  3.24 999 1014.2   3.4   2.1 999.0 99.0 99.00
2008 05 14 17 50 253  5.5  6.1  0.40  3.45  3.16 999 1014.2   3.6   2.1 999.0 99.0 99.00
2008 05 14 18 50 232  6.2  6.9  0.34  3.33  3.05 999 1014.5   4.0   2.2 999.0 99.0 99.00
2008 05 14 19 50 211  6.3  7.4  0.35  3.23  3.03 999 1014.8   3.9   2.2 999.0 99.0 99.00
2008 05 14 20 50 202  5.4  6.4  0.38  3.03  2.93 999 1014.9   4.1   2.1 999.0 99.0 99.00
2008 05 14 21 50 206  6.3  7.0  0.48  3.03  3.00 999 1014.8   4.9   2.1 999.0 99.0 99.00
2008 05 14 22 50 208  5.4  6.1  0.46  3.23  3.13 999 1015.1   5.2   2.2 999.0 99.0 99.00
2008 05 14 23 50 200  4.5  5.3  0.37  3.23  3.11 999 1015.4   5.0   2.2 999.0 99.0 99.00
2008 05 15 00 50 190  3.7  4.1  0.30  3.13  3.02 999 1015.6   5.1   2.2 999.0 99.0 99.00
2008 05 15 01 50 183  3.7  4.0  0.24  2.86  3.04 999 1016.0   7.3   2.1 999.0 99.0 99.00
2008 05 15 02 50  33  2.6  3.5  0.18  2.70  3.02 999 1017.1   5.1   2.1 999.0 99.0 99.00
2008 05 15 03 50 117  1.6  1.9  0.15 99.00  3.01 999 1016.8   5.5   2.1 999.0 99.0 99.00
2008 05 15 04 50 131  2.2  2.5  0.14 99.00  3.13 999 1017.1   5.5   2.0 999.0 99.0 99.00
2008 05 15 05 50 121  2.3  2.7  0.12 99.00  3.09 999 1017.6   4.9   2.0 999.0 99.0 99.00
2008 05 15 06 50 156  3.6  3.9  0.10 99.00  3.21 999 1017.3   3.7   2.0 999.0 99.0 99.00
2008 05 15 07 50 149  2.2  2.6  0.11 99.00  3.29 999 1017.4   4.5   2.1 999.0 99.0 99.00
2008 05 15 08 50 106  1.2  1.3  0.09 99.00  3.28 999 1017.8   4.6   2.0 999.0 99.0 99.00
2008 05 15 09 50 158  2.9  3.5  0.11 99.00  3.84 999 1017.8   3.9   1.9 999.0 99.0 99.00
2008 05 15 10 50  39  1.5  2.2  0.07 99.00  3.60 999 1018.1   4.2   2.0 999.0 99.0 99.00
2008 05 15 11 50  70  0.5  0.8  0.09 99.00  3.77 999 1018.2   3.9   2.0 999.0 99.0 99.00
2008 05 15 12 50 189  2.0  2.5  0.09 99.00  3.82 999 1018.6   4.1   2.0 999.0 99.0 99.00
2008 05 15 13 50 220  3.1  3.4  0.07 99.00  3.70 999 1018.6   3.9   2.2 999.0 99.0 99.00
2008 05 15 14 50 228  4.0  4.4  0.08 99.00  3.78 999 1018.7   4.6   2.2 999.0 99.0 99.00
2008 05 15 15 50 215  4.4  4.9  0.09 99.00  4.18 999 1018.3   4.5   2.2 999.0 99.0 99.00
2008 05 15 16 50 214  4.5  4.9  0.09 99.00  3.61 999 1018.2   5.1   2.2 999.0 99.0 99.00
2008 05 15 17 50 208  3.2  3.5  0.08 99.00  3.22 999 1017.9   5.2   2.2 999.0 99.0 99.00
2008 05 15 18 50 195  2.2  2.3  0.06 99.00  3.81 999 1017.2   6.4   2.2 999.0 99.0 99.00
2008 05 15 19 50 258  3.5  3.6  0.09 99.00  3.72 999 1016.2   9.5   2.3 999.0 99.0 99.00
2008 05 15 20 50 254  3.1  3.6  0.06 99.00  3.96 999 1015.5   8.6   2.2 999.0 99.0 99.00
2008 05 15 21 50 207  2.3  2.6  0.08 99.00  3.37 999 1014.7   9.3   2.3 999.0 99.0 99.00
2008 05 15 22 50 214  1.6  1.8  0.09 99.00  3.46 999 1013.7  11.3   2.2 999.0 99.0 99.00
2008 05 15 23 50 164  4.4  4.9  0.12 99.00  3.45 999 1013.2   5.7   2.2 999.0 99.0 99.00
2008 05 16 00 50 173  4.4  4.9  0.06 99.00  3.87 999 1013.2   5.5   2.2 999.0 99.0 99.00
2008 05 16 01 50 172  5.0  5.7  0.05 99.00  4.03 999 1012.9   5.8   2.2 999.0 99.0 99.00
2008 05 16 02 50 209  4.2  4.7  0.05 99.00  4.15 999 1012.9   5.9   2.2 999.0 99.0 99.00
2008 05 16 03 50 221  6.0  6.5  0.11 99.00  3.73 999 1012.3   6.0   2.2 999.0 99.0 99.00
2008 05 16 04 50 274  5.7  6.9  0.05 99.00  3.54 999 1012.7   6.8   2.2 999.0 99.0 99.00
2008 05 16 05 50   6  5.0  6.5  0.22  2.63  2.74 999 1011.8  10.3   2.2 999.0 99.0 99.00
2008 05 16 06 50  14  3.2  3.8  0.34  2.86  2.94 999 1012.2   5.5   2.2 999.0 99.0 99.00
2008 05 16 07 50 174  2.7  3.2  0.28  3.23  3.07 999 1012.5   5.1   2.2 999.0 99.0 99.00
2008 05 16 08 50 174  1.7  2.9  0.23  3.03  3.04 999 1012.0   5.4   2.2 999.0 99.0 99.00
2008 05 16 09 50  72  2.5  3.1  0.17  2.94  3.07 999 1011.6   4.3   2.1 999.0 99.0 99.00
2008 05 16 10 50  61  2.2  4.1  0.15  2.86  2.96 999 1011.8   6.0   2.0 999.0 99.0 99.00
2008 05 16 11 50  63  3.2  3.5  0.15  3.13  3.05 999 1011.6   4.0   2.2 999.0 99.0 99.00
2008 05 16 12 50  86  2.1  2.2  0.11 99.00  2.89 999 1011.6   5.0   2.2 999.0 99.0 99.00
2008 05 16 13 50  89  2.2  2.5  0.10 99.00  2.99 999 1011.2   4.0   2.3 999.0 99.0 99.00
2008 05 16 14 50 115  2.4  2.7  0.10 99.00  2.93 999 1010.9   3.6   2.3 999.0 99.0 99.00
2008 05 16 15 50 129  2.2  2.5  0.09 99.00  2.99 999 1010.2   3.4   2.3 999.0 99.0 99.00
2008 05 16 16 50 123  1.0  1.2  0.12 99.00  3.06 999 1009.3   3.7   2.3 999.0 99.0 99.00
2008 05 16 17 50 120  1.3  1.7  0.10 99.00  3.22 999 1007.9   3.9   2.4 999.0 99.0 99.00
2008 05 16 18 50  87  2.3  2.5  0.11 99.00  3.46 999 1006.7   3.7   2.3 999.0 99.0 99.00
