YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 05 25 10 326 12.5 14.9  1.58  5.26  4.38 999  999.6   4.8   3.1 999.0 99.0
1999 05 25 11 331 12.7 15.2  1.73  5.88  4.59 999  999.5   4.8   3.1 999.0 99.0
1999 05 25 12 333 13.0 16.0  2.01  5.56  4.77 999  999.5   5.0   3.1 999.0 99.0
1999 05 25 13 333 12.9 15.3  2.00  6.25  4.88 999  999.8   5.1   3.1 999.0 99.0
1999 05 25 14 335 12.7 15.5  1.82  6.25  4.74 999 1000.1   5.4   3.1 999.0 99.0
1999 05 25 15 337 12.9 15.3  2.08  5.88  4.93 999 1000.2   5.7   3.1 999.0 99.0
1999 05 25 16 338 12.2 14.2  2.17  5.88  5.02 999 1001.1   5.8   3.1 999.0 99.0
1999 05 25 17 340 12.0 14.3  1.98  5.88  4.86 999 1001.8   6.0   3.1 999.0 99.0
1999 05 25 18 341 11.3 13.7  1.86  6.25  4.90 999 1002.7   6.1   3.1 999.0 99.0
1999 05 25 19 344 10.7 12.4 99.00 99.00 99.00 999 1003.5   6.1   3.1 999.0 99.0
1999 05 25 20 341  9.4 11.3 99.00 99.00 99.00 999 1004.9   6.2   3.1 999.0 99.0
1999 05 25 21 347  9.6 11.3 99.00 99.00 99.00 999 1006.0   6.8   3.1 999.0 99.0
1999 05 25 22 328  6.5  7.4 99.00 99.00 99.00 999 1007.1   6.1   3.1 999.0 99.0
1999 05 25 23 318  6.2  6.8  1.31  5.56  4.57 999 1007.4   6.3   3.1 999.0 99.0
1999 05 26 00 320  6.5  7.9  1.18  5.56  4.51 999 1007.9   6.8   3.1 999.0 99.0
1999 05 26 01 304  4.3  4.8   .96  5.26  4.25 999 1007.9   6.4   3.1 999.0 99.0
1999 05 26 02 303  5.8  6.6   .81  5.26  4.19 999 1007.9   6.9   3.1 999.0 99.0
1999 05 26 03 298  5.3  6.3   .73  4.55  3.98 999 1009.0   6.3   3.1 999.0 99.0
1999 05 26 04 320  6.3  7.3   .66  4.00  3.80 999 1009.3   7.0   3.1 999.0 99.0
1999 05 26 05 321  6.1  6.8   .61  4.35  3.61 999 1009.9   6.6   3.1 999.0 99.0
1999 05 26 06 319  5.4  5.9   .52  4.76  3.67 999 1010.6   6.5   3.0 999.0 99.0
1999 05 26 07 331  5.3  6.0   .44  3.45  3.49 999 1010.7   6.0   3.0 999.0 99.0
1999 05 26 08 319  5.0  5.6   .44  3.45  3.43 999 1011.2   5.7   3.0 999.0 99.0
1999 05 26 09 301  3.8  4.1   .35  3.33  3.35 999 1011.8   5.0   3.0 999.0 99.0
1999 05 26 10 297  3.7  4.5   .32  3.12  3.25 999 1012.3   5.2   3.0 999.0 99.0
1999 05 26 11 308  5.4  6.2   .30  2.94  3.17 999 1013.0   5.0   3.0 999.0 99.0
1999 05 26 12 301  5.0  5.6   .27  3.57  3.26 999 1013.7   5.0   3.1 999.0 99.0
1999 05 26 13 281  3.7  4.2   .26  3.45  3.23 999 1014.4   5.0   3.1 999.0 99.0
1999 05 26 14 287  4.2  4.6   .23  3.45  3.25 999 1014.9   4.9   3.1 999.0 99.0
1999 05 26 15 277  4.3  4.8 99.00 99.00 99.00 999 1014.7   5.3   3.1 999.0 99.0
1999 05 26 16 255  4.4  4.8 99.00 99.00 99.00 999 1014.7   5.3   3.2 999.0 99.0
1999 05 26 17 249  3.2  4.0 99.00 99.00 99.00 999 1014.9   5.1   3.2 999.0 99.0
1999 05 26 18 219  4.3  5.1 99.00 99.00 99.00 999 1014.4   5.2   3.3 999.0 99.0
