#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 04 30 23 50  39  1.5  2.5  0.01 99.00  8.47 999 1019.0   6.2   7.1 999.0 99.0 99.00
2015 05 01 00 50  29  1.1  2.0  0.01 99.00  7.81 999 1018.8   4.9   7.0 999.0 99.0 99.00
2015 05 01 01 50   4  0.5  0.8  0.01 99.00  8.23 999 1019.0   4.6   6.9 999.0 99.0 99.00
2015 05 01 02 50  99  0.4  1.3 99.00 99.00 99.00 999 1019.3   3.9   6.7 999.0 99.0 99.00
2015 05 01 03 50  83  1.0  1.6 99.00 99.00 99.00 999 1019.3   3.9   6.3 999.0 99.0 99.00
2015 05 01 04 50  86  0.3  1.0  0.01 99.00  6.80 999 1019.2   3.3   5.9 999.0 99.0 99.00
2015 05 01 05 50  53  1.2  2.2 99.00 99.00 99.00 999 1018.6   3.3   5.5 999.0 99.0 99.00
2015 05 01 06 50  42  0.9  1.5  0.01 99.00  7.14 999 1018.3   3.2   5.2 999.0 99.0 99.00
2015 05 01 07 50  48  0.2  1.0 99.00 99.00 99.00 999 1018.2   3.8   5.0 999.0 99.0 99.00
2015 05 01 08 50  62  0.1  0.5  0.01 99.00  8.74 999 1018.3   4.1   4.9 999.0 99.0 99.00
2015 05 01 09 50  85  0.3  0.7 99.00 99.00 99.00 999 1018.5   3.7   4.8 999.0 99.0 99.00
2015 05 01 10 50  84  0.8  1.2  0.01 99.00  8.67 999 1018.5   3.4   4.6 999.0 99.0 99.00
2015 05 01 11 50  97  0.6  1.2  0.02 99.00  9.62 999 1018.6   3.7   4.6 999.0 99.0 99.00
2015 05 01 12 50  98  1.0  2.0 99.00 99.00 99.00 999 1018.6   3.8   4.6 999.0 99.0 99.00
2015 05 01 13 50  76  1.0  1.7  0.01 99.00  8.48 999 1018.3   3.7   4.5 999.0 99.0 99.00
2015 05 01 14 50  63  0.9  1.8  0.02 99.00  9.41 999 1017.7   4.2   4.6 999.0 99.0 99.00
2015 05 01 15 50  68  1.8  2.7  0.01 99.00  7.96 999 1017.4   4.4   5.0 999.0 99.0 99.00
2015 05 01 16 50  48  1.9  2.8 99.00 99.00 99.00 999 1017.6   4.7   5.1 999.0 99.0 99.00
2015 05 01 17 50  54  1.9  3.1  0.01 99.00  6.78 999 1017.3   5.6   5.5 999.0 99.0 99.00
2015 05 01 18 50  63  1.5  2.5  0.01 99.00  7.57 999 1017.1   5.3   5.9 999.0 99.0 99.00
2015 05 01 19 50  58  2.1  3.2 99.00 99.00 99.00 999 1016.5   5.9   6.1 999.0 99.0 99.00
2015 05 01 20 50  34  1.4  2.7 99.00 99.00 99.00 999 1016.0   5.2   6.2 999.0 99.0 99.00
2015 05 01 21 50  55  1.3  2.0 99.00 99.00 99.00 999 1015.4   5.7   6.4 999.0 99.0 99.00
2015 05 01 22 50  51  1.5  2.2 99.00 99.00 99.00 999 1015.1   6.5   6.6 999.0 99.0 99.00
2015 05 01 23 50 164  0.3  0.8  0.01 99.00  6.48 999 1014.3   7.8   6.8 999.0 99.0 99.00
2015 05 02 00 50  49  0.9  1.9  0.01 99.00  7.62 999 1014.3   5.8   6.8 999.0 99.0 99.00
2015 05 02 01 50 175  0.8  1.7  0.01 99.00  8.01 999 1014.6   5.2   6.7 999.0 99.0 99.00
2015 05 02 02 50  65  1.1  1.5  0.01 99.00  9.42 999 1014.8   6.8   6.7 999.0 99.0 99.00
2015 05 02 03 50 174  0.0  0.2  0.01 99.00  7.31 999 1014.7   6.5   6.6 999.0 99.0 99.00
2015 05 02 04 50  50  2.3  3.7  0.01 99.00  8.42 999 1014.8   4.5   6.2 999.0 99.0 99.00
2015 05 02 05 50  51  1.3  2.0  0.01 99.00  8.35 999 1014.9   4.1   5.7 999.0 99.0 99.00
2015 05 02 06 50  42  0.8  1.1 99.00 99.00 99.00 999 1014.7   4.2   5.5 999.0 99.0 99.00
2015 05 02 07 50  37  0.4  0.9  0.01 99.00  8.20 999 1014.2   4.5   5.4 999.0 99.0 99.00
2015 05 02 08 50 174  0.0  0.2 99.00 99.00 99.00 999 1014.0   5.2   5.3 999.0 99.0 99.00
2015 05 02 09 50  93  0.1  0.4  0.01 99.00  6.31 999 1013.7   5.1   5.2 999.0 99.0 99.00
2015 05 02 10 50 131  0.2  0.4  0.01 99.00  8.27 999 1013.5   4.7   5.1 999.0 99.0 99.00
2015 05 02 11 50  75  0.8  1.1  0.01 99.00  8.69 999 1013.3   5.3   5.0 999.0 99.0 99.00
2015 05 02 12 50  55  0.7  1.0  0.01 99.00  8.46 999 1013.4   7.0   5.4 999.0 99.0 99.00
2015 05 02 13 50  50  1.0  1.4  0.01 99.00  8.14 999 1013.0   7.2   6.2 999.0 99.0 99.00
2015 05 02 14 50  57  1.2  1.7  0.02 99.00  9.57 999 1012.5   7.8   6.7 999.0 99.0 99.00
2015 05 02 15 50  58  2.4  3.0 99.00 99.00 99.00 999 1012.0   8.1   7.2 999.0 99.0 99.00
2015 05 02 16 50  78  2.0  3.1  0.02 99.00  8.87 999 1011.5   9.0   7.7 999.0 99.0 99.00
2015 05 02 17 50  45  2.0  3.4  0.01 99.00  7.41 999 1011.0   7.5   7.6 999.0 99.0 99.00
2015 05 02 18 50  35  2.5  4.4  0.01 99.00  7.91 999 1010.4   6.5   7.6 999.0 99.0 99.00
2015 05 02 19 50  41  1.8  3.3 99.00 99.00 99.00 999 1010.0   7.0   7.6 999.0 99.0 99.00
2015 05 02 20 50  27  1.7  3.2  0.01 99.00  7.65 999 1009.2   8.3   7.9 999.0 99.0 99.00
