YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 04 03 10  44  4.5  5.2   .85  5.26  4.17 999 1012.1   2.3   2.1 999.0 99.0
1999 04 03 11   9  3.4  4.1   .95  5.56  4.28 999 1013.2   2.3   2.1 999.0 99.0
1999 04 03 12  35  4.9  6.0   .91  5.56  4.24 999 1013.4   1.9   2.1 999.0 99.0
1999 04 03 13  21  9.5 11.2   .93  5.56  4.10 999 1011.7   1.7   2.1 999.0 99.0
1999 04 03 14  27  7.1  8.2  1.11  5.56  4.19 999 1012.9   1.6   2.0 999.0 99.0
1999 04 03 15  31  5.8  6.9  1.13  6.25  4.31 999 1013.9   1.8   2.0 999.0 99.0
1999 04 03 16  15  5.0  6.0  1.11  5.26  4.49 999 1015.1   1.6   2.0 999.0 99.0
1999 04 03 17  18  7.8  8.8  1.13  5.88  4.51 999 1014.2   1.1   2.0 999.0 99.0
1999 04 03 18  33  9.1 10.5  1.19  5.56  4.39 999 1014.3   1.6   2.0 999.0 99.0
1999 04 03 19  36  8.8 11.2  1.40  5.26  4.36 999 1014.9   1.9   2.0 999.0 99.0
1999 04 03 20  36  8.1  9.3  1.35  5.88  4.49 999 1015.3   2.2   2.0 999.0 99.0
1999 04 03 21  41  9.0 10.4  1.18  5.88  4.27 999 1015.6   2.1   2.0 999.0 99.0
1999 04 03 22  44 10.1 12.6  1.39  5.26  4.52 999 1016.3   2.2   2.0 999.0 99.0
1999 04 03 23  50 10.3 13.2  1.60  5.56  4.52 999 1017.1   2.1   2.0 999.0 99.0
1999 04 04 00  51 12.9 16.2  1.81  5.26  4.73 999 1017.0   2.1   2.0 999.0 99.0
1999 04 04 01  52 13.7 16.2  2.39  6.67  5.21 999 1017.1   1.9   2.0 999.0 99.0
1999 04 04 02  55 12.4 15.8  2.27  6.67  5.31 999 1017.8   1.9   2.0 999.0 99.0
1999 04 04 03  67 12.9 16.3  2.35  7.14  5.46 999 1017.7   1.7   2.0 999.0 99.0
1999 04 04 04  66 14.2 16.6  2.59  7.14  5.52 999 1017.2   1.6   2.0 999.0 99.0
1999 04 04 05  67 15.4 19.5  3.09  7.69  5.87 999 1016.9   1.5   2.0 999.0 99.0
1999 04 04 06  70 14.6 18.0  2.99  7.69  5.86 999 1017.4   1.3   2.0 999.0 99.0
1999 04 04 07  68 15.2 18.7  2.65  6.67  5.62 999 1017.4   1.3   2.0 999.0 99.0
1999 04 04 08  71 13.7 17.2  2.82  7.69  5.63 999 1018.1   1.2   2.1 999.0 99.0
1999 04 04 09  72 14.7 17.8  2.62  7.14  5.47 999 1017.0   1.0   2.0 999.0 99.0
1999 04 04 10  75 13.4 16.2  2.30  6.67  5.36 999 1017.2   1.0   2.1 999.0 99.0
1999 04 04 11  85 12.9 15.9  2.25  6.25  5.15 999 1017.3   1.2   2.1 999.0 99.0
1999 04 04 12  85 12.6 15.4  2.26  6.25  5.16 999 1017.5   1.3   2.1 999.0 99.0
1999 04 04 13  87 14.3 17.4  2.43  6.67  5.29 999 1016.7   1.2   2.0 999.0 99.0
1999 04 04 14  89 15.2 17.8  2.26  6.25  5.16 999 1016.5   1.2   2.1 999.0 99.0
1999 04 04 15  91 14.5 17.3  2.43  6.25  5.19 999 1016.6   1.3   2.1 999.0 99.0
1999 04 04 16  95 13.3 16.8  2.56  5.88  5.20 999 1017.1   1.2   2.1 999.0 99.0
1999 04 04 17 101 12.2 16.4  2.65  6.67  5.54 999 1018.5    .3   2.1 999.0 99.0
1999 04 04 18  99  6.6  7.6  2.34  6.67  5.49 999 1021.0    .1   2.1 999.0 99.0
1999 04 04 19  95  4.4  5.3  2.23  6.25  5.40 999 1021.2    .1   2.1 999.0 99.0
1999 04 04 20  88  2.9  3.5  1.97  7.14  5.22 999 1020.1    .1   2.1 999.0 99.0
1999 04 04 21 119  1.4  1.6  1.53  6.67  4.79 999 1021.5    .1   2.1 999.0 99.0
1999 04 04 22 117  1.0  1.3  1.38  6.25  4.80 999 1022.1    .2   2.1 999.0 99.0
1999 04 04 23  98  1.3  1.5  1.14  6.25  4.52 999 1022.2    .3   2.1 999.0 99.0
1999 04 05 00 121   .9  1.1   .94  5.56  4.38 999 1023.4    .5   2.1 999.0 99.0
1999 04 05 01 137  1.2  1.3   .86  5.88  4.25 999 1023.9    .7   2.1 999.0 99.0
1999 04 05 02 131  1.2  1.4   .78  5.26  4.07 999 1024.3    .8   2.1 999.0 99.0
1999 04 05 03 138  1.1  1.3   .69  5.00  3.97 999 1024.4   1.0   2.1 999.0 99.0
1999 04 05 04 129   .9  1.1   .63  4.76  3.86 999 1024.4   1.1   2.1 999.0 99.0
