YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 04 12 02  13  3.7  4.3  0.55  6.67  4.05 999 1013.6   2.4   1.8 999.0 99.0 99.00
2002 04 12 03 349  2.9  3.5  0.49  6.67  4.11 999 1014.2   2.4   1.8 999.0 99.0 99.00
2002 04 12 04 300  3.5  4.2  0.43  5.26  4.11 999 1014.6   2.2   1.8 999.0 99.0 99.00
2002 04 12 05 276  1.9  2.2  0.40  6.25  4.30 999 1014.4   2.1   1.7 999.0 99.0 99.00
2002 04 12 06 246  2.3  2.7  0.40  6.67  4.32 999 1015.1   2.1   1.7 999.0 99.0 99.00
2002 04 12 07 253  4.5  5.4  0.36  6.25  4.34 999 1015.2   2.2   1.7 999.0 99.0 99.00
2002 04 12 08 265  5.3  6.1  0.35  6.67  4.31 999 1015.5   2.1   1.7 999.0 99.0 99.00
2002 04 12 09 255  3.1  3.4  0.38  6.25  3.77 999 1015.5   2.2   1.7 999.0 99.0 99.00
2002 04 12 10 257  3.6  4.1  0.37  5.88  3.60 999 1015.9   2.2   1.7 999.0 99.0 99.00
2002 04 12 11 263  4.5  5.0  0.40  3.13  3.54 999 1016.3   2.4   1.7 999.0 99.0 99.00
2002 04 12 12 253  4.4  5.0  0.40  3.33  3.52 999 1017.0   2.5   1.7 999.0 99.0 99.00
2002 04 12 13 255  4.9  5.7  0.34  3.33  3.50 999 1017.7   2.9   1.7 999.0 99.0 99.00
2002 04 12 14 260  5.8  6.8  0.35  3.45  3.39 999 1018.1   2.8   1.7 999.0 99.0 99.00
2002 04 12 15 257  4.7  5.4  0.39  3.13  3.23 999 1018.5   2.9   1.7 999.0 99.0 99.00
2002 04 12 16 259  5.3  5.8  0.36  3.33  3.32 999 1019.0   3.1   1.8 999.0 99.0 99.00
2002 04 12 17 237  4.4  4.9  0.39  3.45  3.30 999 1019.1   3.0   1.8 999.0 99.0 99.00
2002 04 12 18 221  4.6  5.1  0.32  3.45  3.30 999 1019.2   3.2   1.8 999.0 99.0 99.00
2002 04 12 19 208  3.1  3.6  0.30  3.33  3.22 999 1019.4   2.9   1.8 999.0 99.0 99.00
2002 04 12 20 192  3.9  4.3  0.25  3.33  3.20 999 1019.2   3.5   1.8 999.0 99.0 99.00
2002 04 12 21 187  3.7  4.0  0.21  3.33  3.19 999 1019.1   3.6   1.9 999.0 99.0 99.00
