YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 04 22 20  69  3.6  4.3  0.56  4.55  3.86 999 1026.6   0.2   1.7 999.0 99.0 99.00
2004 04 22 21  90  2.2  3.0  0.50  4.35  3.83 999 1026.4   0.4   1.7 999.0 99.0 99.00
2004 04 22 22  77  3.0  3.5  0.50  5.56  4.11 999 1025.9   1.4   2.0 999.0 99.0 99.00
2004 04 22 23  66  4.2  4.8  0.47  5.26  3.99 999 1025.6   1.0   1.7 999.0 99.0 99.00
2004 04 23 00  78  4.3  5.0  0.49  5.00  3.98 999 1025.7   1.1   1.7 999.0 99.0 99.00
2004 04 23 01  71  4.5  5.3  0.42  5.00  3.82 999 1025.1   1.1   1.7 999.0 99.0 99.00
2004 04 23 02  72  4.2  5.2  0.44  5.26  3.65 999 1024.7   1.2   1.6 999.0 99.0 99.00
2004 04 23 03  80  4.7  5.6  0.43  5.26  3.70 999 1024.3   1.4   1.6 999.0 99.0 99.00
2004 04 23 04  78  2.9  3.6  0.47  5.00  3.71 999 1024.1   1.6   1.6 999.0 99.0 99.00
2004 04 23 05 109  1.9  2.4  0.47  4.35  3.69 999 1023.6   1.7   1.6 999.0 99.0 99.00
2004 04 23 06 108  1.9  2.4  0.45  5.00  3.63 999 1023.1   1.6   1.6 999.0 99.0 99.00
2004 04 23 07 133  3.9  5.2  0.39  4.17  3.58 999 1022.5   1.9   1.5 999.0 99.0 99.00
2004 04 23 08 144  4.3  5.1  0.36  4.55  3.50 999 1021.5   1.8   1.5 999.0 99.0 99.00
2004 04 23 09 156  3.7  4.0  0.38  3.85  3.40 999 1020.9   1.9   1.5 999.0 99.0 99.00
2004 04 23 10 170  3.2  3.7  0.33  2.70  3.22 999 1020.1   1.8   1.5 999.0 99.0 99.00
2004 04 23 11 180  3.0  3.4  0.31  3.33  3.19 999 1019.7   2.1   1.5 999.0 99.0 99.00
2004 04 23 12 214  2.6  3.0  0.29  3.33  3.24 999 1019.5   2.1   1.5 999.0 99.0 99.00
2004 04 23 13 210  4.0  4.5  0.26  3.23  3.21 999 1019.3   2.1   1.5 999.0 99.0 99.00
2004 04 23 14 238  4.8  5.6  0.20  2.94  3.18 999 1019.3   1.8   1.6 999.0 99.0 99.00
2004 04 23 15 246  5.9  6.8  0.19  2.63  2.94 999 1018.8   1.9   1.6 999.0 99.0 99.00
2004 04 23 16 255  6.1  7.5  0.33  2.78  2.82 999 1018.5   2.0   1.6 999.0 99.0 99.00
2004 04 23 17 259  6.6  7.7  0.44  3.13  2.95 999 1018.0   2.4   1.8 999.0 99.0 99.00
2004 04 23 18 262  7.2  8.1  0.60  3.45  3.19 999 1018.2   3.5   2.3 999.0 99.0 99.00
2004 04 23 19 264  7.3  8.4  0.63  4.00  3.36 999 1018.2   4.1   2.1 999.0 99.0 99.00
2004 04 23 20 264  7.9  9.1  0.68  3.70  3.45 999 1018.2   4.3   1.8 999.0 99.0 99.00
2004 04 23 21 288  6.5  7.1  0.74  4.17  3.58 999 1019.3   4.2   1.8 999.0 99.0 99.00
2004 04 23 22 337  8.0  9.5  0.63  4.55  3.58 999 1020.3   4.6   1.9 999.0 99.0 99.00
2004 04 23 23 332  6.4  7.5  0.66  4.35  3.48 999 1021.6   4.4   1.8 999.0 99.0 99.00
