YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 16 10 00 217  4.2  4.6  0.00  0.00  0.00 999 1025.0   2.9   1.6 999.0 99.0 99.00
2005 04 16 11 00 237  2.2  2.8  0.00  0.00  0.00 999 1025.7   2.4   1.6 999.0 99.0 99.00
2005 04 16 12 00 241  2.6  3.1  0.18  4.35  3.99 999 1025.9   2.7   1.6 999.0 99.0 99.00
2005 04 16 13 00 222  2.0  2.3  0.19  4.55  3.93 999 1026.1   2.8   1.6 999.0 99.0 99.00
2005 04 16 14 00 241  2.5  2.8  0.19  4.76  3.88 999 1026.1   3.4   1.6 999.0 99.0 99.00
2005 04 16 15 00 209  3.7  4.3  0.18  4.35  3.89 999 1026.1   3.7   1.6 999.0 99.0 99.00
2005 04 16 16 00 212  4.1  4.5  0.16  4.35  3.71 999 1026.3   3.6   1.7 999.0 99.0 99.00
2005 04 16 17 00 201  3.6  4.1  0.00  0.00  0.00 999 1026.3   3.4   2.1 999.0 99.0 99.00
2005 04 16 18 00 207  4.4  4.8  0.00  0.00  0.00 999 1025.9   3.6   1.7 999.0 99.0 99.00
2005 04 16 19 00 203  4.6  5.1  0.00  0.00  0.00 999 1025.2   4.4   1.7 999.0 99.0 99.00
2005 04 16 20 00 197  4.4  4.8  0.00  0.00  0.00 999 1024.4   4.7   1.7 999.0 99.0 99.00
2005 04 16 21 00 193  4.6  5.0  0.00  0.00  0.00 999 1023.6   5.0   1.7 999.0 99.0 99.00
2005 04 16 22 00 195  4.3  4.5  0.00  0.00  0.00 999 1023.3   5.4   1.8 999.0 99.0 99.00
2005 04 16 23 00 189  4.4  4.7  0.00  0.00  0.00 999 1022.9   5.4   1.8 999.0 99.0 99.00
2005 04 17 00 00 202  4.3  4.6  0.00  0.00  0.00 999 1022.8   5.8   1.8 999.0 99.0 99.00
2005 04 17 01 00 210  4.9  5.5  0.00  0.00  0.00 999 1023.0   5.7   1.7 999.0 99.0 99.00
2005 04 17 02 00 208  4.4  4.8  0.00  0.00  0.00 999 1023.5   4.7   1.7 999.0 99.0 99.00
2005 04 17 03 00 206  5.4  5.9  0.00  0.00  0.00 999 1023.7   5.1   1.7 999.0 99.0 99.00
2005 04 17 04 00 216  5.8  6.3  0.20  2.56  2.80 999 1023.8   5.1   1.7 999.0 99.0 99.00
2005 04 17 05 00 232  5.8  6.2  0.25  2.70  2.88 999 1024.1   4.7   1.7 999.0 99.0 99.00
2005 04 17 06 00 219  5.4  5.9  0.29  2.86  2.93 999 1023.8   4.4   1.7 999.0 99.0 99.00
2005 04 17 07 00 230  5.0  5.4  0.27  2.86  2.98 999 1024.0   4.1   1.7 999.0 99.0 99.00
2005 04 17 08 00 219  4.6  5.0  0.23  2.70  3.03 999 1024.0   3.7   1.7 999.0 99.0 99.00
2005 04 17 09 00 227  5.0  5.5  0.27  2.70  2.91 999 1023.9   3.9   1.7 999.0 99.0 99.00
2005 04 17 10 00 231  3.9  4.3  0.24  2.86  2.84 999 1024.2   3.5   1.7 999.0 99.0 99.00
2005 04 17 11 00 239  3.9  4.6  0.24  2.63  2.86 999 1024.8   3.0   1.7 999.0 99.0 99.00
2005 04 17 12 00 232  3.4  3.9  0.23  2.78  2.82 999 1025.2   2.3   1.6 999.0 99.0 99.00
2005 04 17 13 00 248  3.7  4.2  0.22  2.63  2.89 999 1025.5   2.1   1.6 999.0 99.0 99.00
2005 04 17 14 00 267  2.5  2.9  0.19  3.03  2.89 999 1025.6   2.2   1.6 999.0 99.0 99.00
2005 04 17 15 00 269  1.1  1.3  0.16  3.03  2.97 999 1025.4   2.2   1.7 999.0 99.0 99.00
2005 04 17 16 00 298  0.2  0.7  0.18  3.13  3.09 999 1025.5   2.6   1.7 999.0 99.0 99.00
2005 04 17 17 00  63  4.0  4.6  0.00  0.00  0.00 999 1025.4   3.4   1.9 999.0 99.0 99.00
2005 04 17 18 00  65  4.0  4.7  0.15  3.03  3.13 999 1025.1   3.0   1.8 999.0 99.0 99.00
2005 04 17 19 00  70  5.1  5.9  0.00  0.00  0.00 999 1024.7   2.5   1.8 999.0 99.0 99.00
2005 04 17 20 00  61  6.1  7.2  0.21  2.50  2.71 999 1024.0   2.7   1.9 999.0 99.0 99.00
2005 04 17 21 00  69  6.0  6.9  0.30  2.78  2.78 999 1023.2   3.6   2.5 999.0 99.0 99.00
2005 04 17 22 00  75  6.0  6.9  0.40  3.03  2.99 999 1022.4   3.3   2.2 999.0 99.0 99.00
2005 04 17 23 00  74  5.9  6.6  0.42  3.03  3.04 999 1022.1   3.0   1.7 999.0 99.0 99.00
2005 04 18 00 00  79  6.1  7.1  0.46  3.33  3.16 999 1021.5   3.4   1.7 999.0 99.0 99.00
2005 04 18 01 00  83  5.5  6.3  0.44  3.57  3.25 999 1021.1   3.3   1.7 999.0 99.0 99.00
2005 04 18 02 00  84  6.0  6.5  0.47  3.57  3.19 999 1020.7   3.7   1.7 999.0 99.0 99.00
2005 04 18 03 00  90  6.1  7.2  0.39  3.45  3.18 999 1020.4   4.3   1.7 999.0 99.0 99.00
2005 04 18 04 00  90  6.1  6.5  0.38  3.45  3.18 999 1019.5   4.3   1.7 999.0 99.0 99.00
2005 04 18 05 00  95  5.4  6.0  0.33  3.33  3.14 999 1019.0   4.0   1.7 999.0 99.0 99.00
2005 04 18 06 00 100  5.1  5.6  0.29  3.45  3.12 999 1018.5   3.7   1.6 999.0 99.0 99.00
2005 04 18 07 00 128  5.1  5.5  0.26  3.03  3.08 999 1018.0   4.7   1.6 999.0 99.0 99.00
2005 04 18 08 00 143  5.0  5.5  0.27  3.23  3.04 999 1017.4   4.8   1.6 999.0 99.0 99.00
2005 04 18 09 00 143  5.0  5.5  0.24  3.23  3.04 999 1016.8   5.0   1.6 999.0 99.0 99.00
2005 04 18 10 00 152  4.5  5.1  0.20  2.78  2.93 999 1016.5   4.8   1.6 999.0 99.0 99.00
2005 04 18 11 00 152  6.9  7.7  0.23  2.50  2.87 999 1016.0   5.5   1.6 999.0 99.0 99.00
