#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 12 00 50 117  3.5  3.9  0.10 99.00  3.83 999 1020.2   4.0   2.5 999.0 99.0 99.00
2009 05 12 01 50 137  3.7  4.1  0.09 99.00  3.81 999 1020.0   3.5   2.4 999.0 99.0 99.00
2009 05 12 02 50 132  4.4  4.8  0.05 99.00  3.17 999 1019.8   4.8   2.4 999.0 99.0 99.00
2009 05 12 03 50 131  3.7  4.1  0.05 99.00  3.58 999 1019.8   4.4   2.3 999.0 99.0 99.00
2009 05 12 04 50 132  4.0  4.3  0.04 99.00  3.30 999 1019.5   4.4   2.3 999.0 99.0 99.00
2009 05 12 05 50 131  4.5  4.9  0.03 99.00  3.45 999 1019.5   5.0   2.2 999.0 99.0 99.00
2009 05 12 06 50 139  4.6  4.9  0.03 99.00  3.32 999 1019.3   5.1   2.2 999.0 99.0 99.00
2009 05 12 07 50 144  4.3  4.9  0.04 99.00  3.76 999 1019.1   4.7   2.2 999.0 99.0 99.00
2009 05 12 08 50 143  4.2  4.7  0.03 99.00  3.00 999 1018.9   4.5   2.2 999.0 99.0 99.00
2009 05 12 09 50 145  4.1  4.5  0.07 99.00  2.89 999 1019.0   4.7   2.2 999.0 99.0 99.00
2009 05 12 10 50 141  4.0  4.6  0.09 99.00  2.67 999 1018.9   5.3   2.1 999.0 99.0 99.00
2009 05 12 11 50 156  4.7  5.3  0.11 99.00  2.66 999 1019.5   4.5   2.1 999.0 99.0 99.00
2009 05 12 12 50 155  7.0  8.2  0.14 99.00  2.63 999 1019.5   5.0   2.1 999.0 99.0 99.00
2009 05 12 13 50 142  6.8  8.1  0.11 99.00  2.66 999 1018.9   5.5   2.1 999.0 99.0 99.00
2009 05 12 14 50 116  6.5  7.4  0.15 99.00  2.66 999 1018.1   5.3   2.1 999.0 99.0 99.00
2009 05 12 15 50 116  5.6  6.2  0.24 99.00  2.72 999 1017.3   6.0   2.2 999.0 99.0 99.00
2009 05 12 16 50 105  5.8  6.4  0.28  2.78  2.80 999 1016.5   5.4   2.3 999.0 99.0 99.00
2009 05 12 17 50 105  5.8  6.3  0.29  2.86  2.79 999 1015.0   5.7   2.3 999.0 99.0 99.00
2009 05 12 18 50 107  5.3  6.6  0.30  2.86  2.83 999 1013.9   5.9   2.3 999.0 99.0 99.00
2009 05 12 19 50  93  4.9  5.7  0.33  3.13  2.99 999 1013.3   6.2   2.2 999.0 99.0 99.00
2009 05 12 20 50  81  3.5  5.2  0.29  3.03  2.96 999 1012.5   6.5   2.3 999.0 99.0 99.00
2009 05 12 21 50 130  4.1  4.5  0.27  2.94  2.88 999 1011.1   9.2   2.3 999.0 99.0 99.00
2009 05 12 22 50 139  4.3  6.1  0.22 99.00  2.85 999 1010.3   7.5   2.3 999.0 99.0 99.00
2009 05 12 23 50 151  3.9  4.3  0.25  3.13  2.97 999 1009.2   8.5   2.3 999.0 99.0 99.00
2009 05 13 00 50 160  5.2  5.8  0.35  3.45  3.20 999 1009.3   8.4   2.3 999.0 99.0 99.00
2009 05 13 01 50 150  4.9  8.4  0.42  3.45  3.20 999 1009.7   7.8   2.3 999.0 99.0 99.00
2009 05 13 02 50 132  3.9  4.6  0.44  3.45  3.34 999 1009.8   7.3   2.2 999.0 99.0 99.00
2009 05 13 03 50 123  5.4  5.9  0.44  3.57  3.32 999 1008.7   6.7   2.2 999.0 99.0 99.00
2009 05 13 04 50 124  6.0  6.9  0.44  3.45  3.32 999 1007.9   6.6   2.2 999.0 99.0 99.00
2009 05 13 05 50 132  5.9  6.7  0.52  3.57  3.32 999 1007.5   7.3   2.2 999.0 99.0 99.00
2009 05 13 06 50 138  7.9  8.6  0.61  3.13  3.30 999 1007.2   7.8   2.2 999.0 99.0 99.00
2009 05 13 07 50 133  8.4  9.4  0.64  3.13  3.31 999 1005.9   7.4   2.2 999.0 99.0 99.00
2009 05 13 08 50 139  8.8  9.9  0.72  3.57  3.37 999 1005.3   7.2   2.2 999.0 99.0 99.00
2009 05 13 09 50 140  8.6  9.8  0.75  4.00  3.62 999 1004.0   6.8   2.2 999.0 99.0 99.00
2009 05 13 10 50 148  7.1  7.9  0.74  4.00  3.66 999 1003.7   6.4   2.2 999.0 99.0 99.00
2009 05 13 11 50 146  7.2  8.0  0.71  3.70  3.65 999 1003.0   5.9   2.2 999.0 99.0 99.00
2009 05 13 12 50 148  7.7  9.1  0.69  3.57  3.72 999 1001.7   6.5   2.2 999.0 99.0 99.00
2009 05 13 13 50 148  7.9  8.9  0.82  4.00  3.64 999 1000.9   7.0   2.2 999.0 99.0 99.00
2009 05 13 14 50 151  5.0  5.5  0.86  4.17  3.88 999 1000.8   5.5   2.2 999.0 99.0 99.00
