YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 04 18 00 151  2.2  2.8   .51  5.26  4.49 999 1021.5   -.3    .5 999.0 99.0
97 04 18 01 141  2.2  2.8   .49  5.56  4.54 999 1020.7   -.4    .5 999.0 99.0
97 04 18 02 128  1.2  1.5   .44  5.26  4.46 999 1020.5   -.4    .5 999.0 99.0
97 04 18 03  97  3.1  3.6   .44  5.26  4.41 999 1019.8   -.4    .4 999.0 99.0
97 04 18 04  81  4.6  5.2   .39  5.00  4.30 999 1019.0   -.4    .5 999.0 99.0
97 04 18 05  96  4.0  4.7   .31  5.00  4.07 999 1018.2   -.3    .5 999.0 99.0
97 04 18 06 103  3.7  4.4   .31  4.76  4.01 999 1018.0   -.3    .5 999.0 99.0
97 04 18 07 110  3.7  4.4   .30  4.76  3.95 999 1017.2   -.3    .5 999.0 99.0
97 04 18 08  80  3.3  4.1   .29  4.55  3.67 999 1016.7   -.3    .5 999.0 99.0
97 04 18 09  81  5.4  6.1   .24  4.55  3.59 999 1016.4    .0    .5 999.0 99.0
97 04 18 10  85  8.0  9.8   .30  2.50  3.02 999 1015.0    .1    .5 999.0 99.0
97 04 18 11  88  7.3  8.3   .39  2.63  2.86 999 1015.0    .1    .5 999.0 99.0
97 04 18 12  96  6.3  7.3   .43  3.03  2.97 999 1014.8    .4    .5 999.0 99.0
97 04 18 13 105  6.4  7.5   .53  3.12  3.06 999 1014.3    .6    .5 999.0 99.0
97 04 18 14 108  6.0  7.3   .52  3.12  3.11 999 1013.5    .8    .5 999.0 99.0
97 04 18 15 101  6.3  7.5   .53  3.45  3.17 999 1013.1    .8    .5 999.0 99.0
97 04 18 16  93  7.3  8.7   .56  3.57  3.24 999 1012.4    .9    .5 999.0 99.0
97 04 18 17  91  7.3  8.5   .64  3.45  3.32 999 1011.7   1.1    .5 999.0 99.0
97 04 18 18  88  8.1  9.5   .71  3.85  3.41 999 1010.8   1.2    .5 999.0 99.0
97 04 18 19  87  8.0  9.0   .81  4.00  3.56 999 1009.6   1.6    .5 999.0 99.0
97 04 18 20  77  7.5  9.0   .88  4.17  3.57 999 1009.4   2.0    .5 999.0 99.0
97 04 18 21  75  8.1  9.3   .88  4.00  3.57 999 1008.8   1.9    .5 999.0 99.0
97 04 18 22  71  8.5 10.0   .89  4.00  3.64 999 1008.5   1.7    .5 999.0 99.0
97 04 18 23  73  8.1  9.3   .96  4.35  3.63 999 1008.7   1.7    .5 999.0 99.0
97 04 19 00  74  7.4  8.4   .91  4.35  3.69 999 1008.7   1.6    .5 999.0 99.0
97 04 19 01  85  7.5  8.6   .92  4.17  3.64 999 1008.6   1.6    .5 999.0 99.0
97 04 19 02  65  6.4  7.3   .83  4.17  3.64 999 1009.2   1.7    .5 999.0 99.0
97 04 19 03  91  7.8  9.1   .76  4.17  3.50 999 1008.6   1.6    .5 999.0 99.0
97 04 19 04  91  5.4  6.6   .80  4.00  3.57 999 1008.5   1.3    .5 999.0 99.0
97 04 19 05  65  6.7  7.7   .77  4.55  3.62 999 1008.5   1.2    .5 999.0 99.0
97 04 19 06  55  5.9  6.9   .73  4.00  3.61 999 1008.6   1.2    .5 999.0 99.0
97 04 19 07  46  6.8  8.0   .68  4.17  3.63 999 1008.4    .9    .5 999.0 99.0
97 04 19 08  64  6.0  7.4   .73  3.70  3.52 999 1008.4   1.2    .5 999.0 99.0
97 04 19 09  47  7.2  8.2   .67  4.00  3.51 999 1008.4   1.1    .5 999.0 99.0
97 04 19 10  70  6.4  7.7   .73  4.00  3.45 999 1008.4    .9    .5 999.0 99.0
