YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 29 02 342  9.0 99.0  0.40  3.03  2.99 999 1007.4 999.0   2.0 999.0 99.0 99.00
2003 05 29 03 340  9.5 11.5  0.88  3.70  3.66 999 1008.1   5.4   2.0 999.0 99.0 99.00
2003 05 29 04 342  8.2  9.4  0.94  4.76  3.91 999 1008.6   5.3   2.0 999.0 99.0 99.00
2003 05 29 05 338  7.6  9.1  1.14  5.56  4.20 999 1008.7   5.3   2.0 999.0 99.0 99.00
2003 05 29 06   4  7.8  9.1  0.92  3.85  3.91 999 1008.9   5.7   2.0 999.0 99.0 99.00
2003 05 29 07 355  7.3  8.5  0.88  4.55  3.92 999 1008.9   5.8   2.0 999.0 99.0 99.00
2003 05 29 08 323  5.8  7.0  0.85  4.76  3.93 999 1009.3   5.9   2.0 999.0 99.0 99.00
2003 05 29 09 325  5.9  6.9  0.79  4.55  3.90 999 1009.3   4.4   2.0 999.0 99.0 99.00
2003 05 29 10 328  7.3  8.4  0.65  4.35  3.69 999 1009.7   4.7   2.0 999.0 99.0 99.00
2003 05 29 11 325  7.0  8.1  0.65  4.00  3.58 999 1010.2   4.4   2.0 999.0 99.0 99.00
2003 05 29 12 337  6.6  7.4  0.59  4.00  3.49 999 1010.3   4.8   2.0 999.0 99.0 99.00
2003 05 29 13 330  4.8  5.5  0.49  4.00  3.46 999 1010.8   4.3   2.0 999.0 99.0 99.00
2003 05 29 14 334  4.9  5.4  0.43  3.85  3.45 999 1010.8   4.2   2.0 999.0 99.0 99.00
2003 05 29 15 322  4.4  4.8  0.41  3.70  3.33 999 1010.9   4.0   2.0 999.0 99.0 99.00
2003 05 29 16 292  5.1  5.8  0.31  3.45  3.27 999 1011.0   3.8   2.0 999.0 99.0 99.00
2003 05 29 17 291  4.5  5.2  0.30  3.23  3.14 999 1011.0   3.6   2.1 999.0 99.0 99.00
2003 05 29 18 286  4.4  5.2  0.27  3.13  3.06 999 1010.6   3.8   2.0 999.0 99.0 99.00
2003 05 29 19 278  3.6  4.2  0.24  3.03  3.01 999 1010.2   4.1   2.1 999.0 99.0 99.00
2003 05 29 20 269  3.2  3.5  0.19  2.94  3.04 999 1009.5   4.5   2.2 999.0 99.0 99.00
2003 05 29 21 238  2.6  3.0  0.19  2.70  2.96 999 1008.6   4.6   2.1 999.0 99.0 99.00
2003 05 29 22 229  2.4  2.6  0.16  2.78  3.02 999 1008.0   5.6   2.1 999.0 99.0 99.00
2003 05 29 23 199  2.4  2.6  0.00  0.00  0.00 999 1007.3   5.3   2.2 999.0 99.0 99.00
2003 05 30 00 199  1.8  1.9  0.00  0.00  0.00 999 1007.2   6.0   2.1 999.0 99.0 99.00
2003 05 30 01  78  3.2  3.6  0.00  0.00  0.00 999 1007.4   3.5   2.1 999.0 99.0 99.00
