YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
87 04 07 11 210 01.0 03.0 00.00 02.60 02.70 999 1022.3  03.8  03.9 999.0 99.0
87 04 07 12 060 04.0 05.0 99.00 99.00 99.00 999 1023.1  03.2  02.3 999.0 99.0
87 04 07 13 060 04.0 05.0 00.30 03.00 02.90 999 1023.2  03.2  01.6 999.0 99.0
87 04 07 14 070 02.0 03.0 00.30 03.10 03.00 999 1023.4  03.0  01.6 999.0 99.0
87 04 07 15 060 02.0 03.0 00.30 03.40 03.10 999 1023.5 999.0 999.0 999.0 99.0
87 04 07 16 070 01.0 02.0 00.20 03.20 03.00 999 1023.6  02.8  01.6 999.0 99.0
87 04 07 17 100 02.0 03.0 00.20 03.00 03.00 999 1023.6  03.1  01.6 999.0 99.0
87 04 07 18 120 02.0 03.0 00.20 03.00 03.00 999 1023.4  02.8  01.8 999.0 99.0
87 04 07 19 120 01.0 02.0 00.20 03.20 03.00 999 1022.8  02.8  01.7 999.0 99.0
87 04 07 20 000 00.0 01.0 00.20 02.90 03.00 999 1022.6  03.2  01.9 999.0 99.0
87 04 07 21 000 00.0 00.0 00.20 03.80 03.40 999 1022.0  05.0  01.9 999.0 99.0
87 04 07 22 000 00.0 01.0 00.20 03.60 03.40 999 1021.8  02.8  01.9 999.0 99.0
87 04 07 23 050 01.0 01.0 00.30 03.80 03.60 999 1021.2  02.7  01.6 999.0 99.0
87 04 08 00 060 01.0 01.0 00.30 04.30 03.80 999 1021.0  02.4  01.6 999.0 99.0
87 04 08 01 000 00.0 01.0 00.30 04.80 03.90 999 1020.5  02.2  01.6 999.0 99.0
87 04 08 02 000 01.0 01.0 00.30 04.50 04.00 999 1020.5  01.5  01.6 999.0 99.0
87 04 08 03 010 01.0 01.0 00.40 04.80 04.20 999 1020.4  01.5  01.6 999.0 99.0
87 04 08 04 000 00.0 01.0 00.40 05.00 04.20 999 1019.8  01.4  01.6 999.0 99.0
87 04 08 05 000 00.0 00.0 00.50 05.60 04.30 999 1019.5  01.1  01.6 999.0 99.0
87 04 08 06 050 01.0 01.0 00.40 04.80 04.20 999 1019.5  01.2  01.6 999.0 99.0
87 04 08 07 000 00.0 00.0 00.40 04.80 04.30 999 1019.2  00.6  01.6 999.0 99.0
87 04 08 08 150 01.0 01.0 00.40 05.00 04.20 999 1018.9  01.3  01.1 999.0 99.0
87 04 08 09 000 00.0 00.0 00.40 05.00 04.20 999 1018.7  01.5  00.8 999.0 99.0
87 04 08 10 000 00.0 00.0 00.30 04.80 04.20 999 1018.6  01.2  00.8 999.0 99.0
87 04 08 11 000 00.0 00.0 00.30 04.50 04.00 999 1018.6  00.4  00.7 999.0 99.0
87 04 08 12 000 00.0 01.0 00.30 04.80 04.10 999 1018.2  00.4  00.7 999.0 99.0
87 04 08 13 000 00.0 00.0 00.20 04.80 04.20 999 1018.5  00.7  00.4 999.0 99.0
87 04 08 14 000 00.0 00.0 00.20 05.30 04.20 999 1018.1  01.5  00.4 999.0 99.0
87 04 08 15 000 00.0 00.0 00.20 04.30 04.00 999 1017.4  02.1  01.2 999.0 99.0
87 04 08 17 000 00.0 00.0 00.10 04.00 04.00 999 1016.5  03.0  01.9 999.0 99.0
87 04 08 18 000 00.0 00.0 99.00 99.00 99.00 999 1015.8  03.2  01.9 999.0 99.0
87 04 08 19 000 00.0 01.0 00.10 04.80 03.90 999 1014.9  03.2  01.9 999.0 99.0
87 04 08 20 160 01.0 01.0 00.10 04.80 03.80 999 1014.1  03.2  02.0 999.0 99.0
87 04 08 21 140 01.0 01.0 00.10 04.30 03.80 999 1013.3  02.8  01.9 999.0 99.0
87 04 08 22 110 01.0 01.0 00.10 04.20 03.70 999 1012.6  03.2  01.9 999.0 99.0
87 04 08 23 100 01.0 01.0 00.10 03.80 03.60 999 1011.8  03.5  01.9 999.0 99.0
87 04 09 00 070 01.0 01.0 00.10 03.80 03.60 999 1011.6  03.9  01.7 999.0 99.0
87 04 09 01 040 02.0 02.0 00.10 04.00 03.50 999 1011.5  02.8  01.6 999.0 99.0
87 04 09 02 050 02.0 02.0 00.10 03.70 03.50 999 1011.0  02.7  01.6 999.0 99.0
87 04 09 03 050 02.0 02.0 00.00 04.00 03.40 999 1010.7  02.8  01.6 999.0 99.0
87 04 09 04 060 02.0 02.0 00.00 03.80 03.40 999 1010.1  03.1  01.6 999.0 99.0
87 04 09 05 060 01.0 02.0 00.00 03.80 03.40 999 1009.6  03.8  01.6 999.0 99.0
87 04 09 06 000 00.0 00.0 00.00 03.30 03.30 999 1009.4  03.5  01.6 999.0 99.0
87 04 09 07 050 02.0 02.0 00.00 03.40 03.20 999 1009.3  03.5  01.5 999.0 99.0
87 04 09 08 110 02.0 02.0 00.00 03.10 03.10 999 1009.1  03.9  01.5 999.0 99.0
87 04 09 09 170 01.0 02.0 00.00 03.30 03.10 999 1009.1  03.9  01.1 999.0 99.0
87 04 09 10 210 02.0 03.0 00.00 03.00 02.80 999 1008.6  03.5  01.5 999.0 99.0
87 04 09 11 250 02.0 02.0 00.00 02.90 02.90 999 1009.1  02.7  01.5 999.0 99.0
87 04 09 12 270 02.0 03.0 00.00 04.20 03.80 999 1009.2  02.4  01.6 999.0 99.0
87 04 09 13 270 01.0 02.0 00.00 04.20 03.70 999 1009.4  03.1  01.6 999.0 99.0
87 04 09 14 250 01.0 02.0 00.00 04.20 03.80 999 1009.7  03.5  01.6 999.0 99.0
87 04 09 15 000 00.0 01.0 00.00 03.80 03.50 999 1009.3 999.0  01.9 999.0 99.0
87 04 09 16 250 01.0 01.0 00.10 02.60 02.90 999 1009.0  04.8  01.9 999.0 99.0
87 04 09 17 000 00.0 01.0 00.00 04.00 03.20 999 1008.4  06.3  01.9 999.0 99.0
87 04 09 18 080 01.0 01.0 00.00 03.70 03.40 999 1008.3  04.4  01.9 999.0 99.0
87 04 09 19 120 01.0 01.0 00.00 03.70 03.20 999 1007.7  04.2  02.0 999.0 99.0
87 04 09 20 080 02.0 99.0 99.00 99.00 99.00 999 1006.9  03.9  02.0 999.0 99.0
87 04 09 21 090 03.0 03.0 00.00 04.30 03.40 999 1006.4  03.9  02.0 999.0 99.0
87 04 09 22 100 03.0 03.0 00.00 03.30 03.00 999 1005.8  04.3  01.9 999.0 99.0
87 04 09 23 080 02.0 02.0 00.00 03.40 02.90 999 1005.3  04.7  01.9 999.0 99.0
87 04 10 00 090 02.0 02.0 00.00 03.00 02.90 999 1005.1  04.3  01.9 999.0 99.0
87 04 10 01 100 02.0 02.0 00.00 03.20 02.90 999 1004.6  04.5  01.9 999.0 99.0
87 04 10 02 120 04.0 04.0 00.00 03.20 03.00 999 1004.5  05.6  01.8 999.0 99.0
87 04 10 03 140 03.0 05.0 00.10 02.50 02.60 999 1004.4  07.4  01.7 999.0 99.0
