#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 03 18 00 50 323  3.2  4.9  0.04 99.00  7.71 999 1017.8  -5.3 999.0 999.0 99.0 99.00
2013 03 18 01 50  48  0.7  1.8  0.04 99.00  8.12 999 1017.1  -3.9 999.0 999.0 99.0 99.00
2013 03 18 02 50 259  0.1  1.1  0.03 99.00  7.24 999 1016.2  -4.9 999.0 999.0 99.0 99.00
2013 03 18 03 50 174  0.0  0.1  0.03 99.00  7.41 999 1015.8  -5.8 999.0 999.0 99.0 99.00
2013 03 18 04 50 174  0.1  0.6  0.06 99.00  8.67 999 1015.1  -5.5 999.0 999.0 99.0 99.00
2013 03 18 05 50 174  0.1  0.5  0.04 99.00  7.63 999 1014.6  -5.3 999.0 999.0 99.0 99.00
2013 03 18 06 50  52  0.7  1.6  0.03 99.00  7.20 999 1013.5  -4.6 999.0 999.0 99.0 99.00
2013 03 18 07 50  53  0.4  1.3  0.08 99.00 10.71 999 1012.1  -5.0 999.0 999.0 99.0 99.00
2013 03 18 09 50 174  0.0  0.1  0.03 99.00  7.33 999 1009.7  -4.7 999.0 999.0 99.0 99.00
2013 03 18 11 50 174  0.1  0.5  0.05 99.00  8.79 999 1007.5  -5.1 999.0 999.0 99.0 99.00
2013 03 18 13 50  16  0.3  2.1  0.03 99.00  7.33 999 1005.3  -4.4 999.0 999.0 99.0 99.00
2013 03 18 14 50  11  0.3  1.3  0.03 99.00  7.31 999 1004.2  -3.7 999.0 999.0 99.0 99.00
2013 03 18 15 50  18  0.2  1.2  0.03 99.00  7.30 999 1003.4  -2.8 999.0 999.0 99.0 99.00
2013 03 18 16 50 174  0.0  0.3 99.00 99.00 99.00 999 1002.4  -1.6 999.0 999.0 99.0 99.00
2013 03 18 17 50 174  0.1  0.6 99.00 99.00 99.00 999 1001.4  -1.3 999.0 999.0 99.0 99.00
2013 03 18 18 50 314  0.5  1.9  0.01 99.00  7.12 999 1000.8  -1.9 999.0 999.0 99.0 99.00
2013 03 18 19 50  68  3.7  4.6  0.05 99.00  5.41 999 1000.0  -1.2 999.0 999.0 99.0 99.00
2013 03 18 20 50  22  0.6  2.1  0.06 99.00  4.71 999  999.9  -1.3 999.0 999.0 99.0 99.00
2013 03 18 21 50  59  2.0  4.4  0.09 99.00  4.55 999  999.6  -1.1 999.0 999.0 99.0 99.00
2013 03 18 22 50  70  5.1  6.7  0.15 99.00  4.52 999  999.6  -1.2 999.0 999.0 99.0 99.00
2013 03 18 23 50  79  3.2  5.6  0.27  4.55  5.01 103  999.6  -1.2 999.0 999.0 99.0 99.00
2013 03 19 00 50  88  4.9  5.8  0.66  5.26  5.25  99  999.4  -1.1 999.0 999.0 99.0 99.00
2013 03 19 01 50  88  4.8  5.4  0.58  4.76  4.90 103  999.0  -1.1 999.0 999.0 99.0 99.00
2013 03 19 02 50  96  3.5  4.2  0.72  4.76  4.88  97  998.6  -1.0 999.0 999.0 99.0 99.00
2013 03 19 03 50  35  0.9  3.2  1.36  5.00  4.99 102  998.2  -1.4 999.0 999.0 99.0 99.00
2013 03 19 04 50  68  1.6  4.0  1.43  5.00  4.89 101  997.4  -1.7 999.0 999.0 99.0 99.00
2013 03 19 05 50  40  3.4  4.6  1.08  4.76  4.73  98  996.6  -1.9 999.0 999.0 99.0 99.00
2013 03 19 06 50 360  0.1  0.6  1.49  4.55  4.55 107  995.8  -1.3 999.0 999.0 99.0 99.00
2013 03 19 07 50 345  0.1  0.5  1.45  4.76  4.50 115  995.1  -0.9 999.0 999.0 99.0 99.00
2013 03 19 08 50  30  0.2  1.1  1.21  4.35  4.43 121  994.7  -0.7 999.0 999.0 99.0 99.00
2013 03 19 09 50  25  0.2  0.9  0.69  4.00  4.22 123  994.2  -0.6 999.0 999.0 99.0 99.00
2013 03 19 10 50  84  0.2  0.5  0.34  4.17  4.06 114  994.2  -0.9 999.0 999.0 99.0 99.00
2013 03 19 11 50 275  3.1  5.2  0.34  6.67  5.52 171  994.3  -0.7 999.0 999.0 99.0 99.00
2013 03 19 12 50 257  2.5  4.4  0.31  9.09  7.17 204  994.5  -0.8 999.0 999.0 99.0 99.00
2013 03 19 13 50 224  2.8  3.8  0.54  6.67  6.80 183  994.6  -0.5  -0.4 999.0 99.0 99.00
2013 03 19 14 50 201  5.0  5.9  0.37 10.00  7.07 204  994.8  -1.5  -0.3 999.0 99.0 99.00
2013 03 19 15 50 185  4.8  6.4  0.25  6.25  5.78 167  995.6  -2.1  -0.3 999.0 99.0 99.00
2013 03 19 16 50 168  5.0  7.9 99.00 99.00 99.00 999  996.5  -1.9  -0.1 999.0 99.0 99.00
2013 03 19 17 50 182  5.0  6.9  0.04 99.00  5.00 999  997.3  -2.0   0.3 999.0 99.0 99.00
2013 03 19 18 50 223  3.9  5.1  0.05 99.00  9.02 999  997.8  -1.4   0.7 999.0 99.0 99.00
2013 03 19 19 50 235  5.4  8.3  0.02 99.00  5.48 999  998.2  -1.3   1.0 999.0 99.0 99.00
2013 03 19 20 50 298  4.2  8.1  0.02 99.00  7.14 999 1000.1  -1.4   0.9 999.0 99.0 99.00
2013 03 19 22 50 353  1.5  7.0  0.02 99.00  7.14 999 1003.3  -1.9  -0.1 999.0 99.0 99.00
2013 03 19 23 50 275  4.9  9.0  0.03 99.00  5.85 999 1004.6  -2.9 999.0 999.0 99.0 99.00
2013 03 20 00 50 275  3.0  7.0 99.00 99.00 99.00 999 1005.4  -3.4 999.0 999.0 99.0 99.00
2013 03 20 01 50 270  3.2  4.4 99.00 99.00 99.00 999 1006.1  -3.9 999.0 999.0 99.0 99.00
2013 03 20 03 50 228  3.5  5.0  0.21 99.00  5.99 999 1006.2  -3.1 999.0 999.0 99.0 99.00
2013 03 20 04 50 206  2.9  5.9  0.02 99.00  5.34 999 1006.6  -5.0 999.0 999.0 99.0 99.00
2013 03 20 05 50 258  2.8  6.0 99.00 99.00 99.00 999 1006.8  -5.6 999.0 999.0 99.0 99.00
2013 03 20 06 50 254  3.4  4.3  0.05 99.00  8.87 999 1006.9  -6.1 999.0 999.0 99.0 99.00
2013 03 20 07 50 245  3.1  4.2  0.03 99.00  7.69 999 1006.7  -6.6 999.0 999.0 99.0 99.00
2013 03 20 08 50 245  3.4  4.4  0.05 99.00  8.60 999 1006.6  -7.5 999.0 999.0 99.0 99.00
2013 03 20 09 50 243  3.7  4.9  0.05 99.00  8.68 999 1006.5  -7.2 999.0 999.0 99.0 99.00
2013 03 20 10 50 242  3.9  5.4  0.08 99.00  9.91 999 1006.4  -7.2 999.0 999.0 99.0 99.00
2013 03 20 11 50 243  4.1  5.5 99.00 99.00 99.00 999 1006.3  -7.3 999.0 999.0 99.0 99.00
2013 03 20 13 50 237  4.1  5.7  0.05 99.00  5.63 999 1005.3  -6.3 999.0 999.0 99.0 99.00
2013 03 20 14 50 266  5.0  8.7  0.07 99.00  9.38 999 1005.5  -4.3 999.0 999.0 99.0 99.00
2013 03 20 15 50 258  4.5  7.8  0.02 99.00  7.14 999 1005.6  -3.7 999.0 999.0 99.0 99.00
2013 03 20 16 50 249  5.8  8.3  0.02 99.00  7.14 999 1005.6  -3.6 999.0 999.0 99.0 99.00
2013 03 20 17 50 242  3.1  4.3  0.01 99.00  6.89 999 1006.2  -3.3 999.0 999.0 99.0 99.00
2013 03 20 18 50  49  0.7  2.3  0.01 99.00  7.14 999 1005.8  -0.6 999.0 999.0 99.0 99.00
2013 03 20 19 50  44  0.5  2.1  0.02 99.00  7.87 999 1006.1  -1.2  -0.4 999.0 99.0 99.00
