YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 29 00 347  9.5 10.8  0.95  5.00  4.01 999 1009.7   6.2   2.0 999.0 99.0 99.00
2003 05 29 01 341  8.0  9.1  0.91  4.76  4.05 999 1010.1   6.5   2.0 999.0 99.0 99.00
2003 05 29 02 357  5.5  6.0  0.70  4.76  3.80 999 1010.8   5.9   2.0 999.0 99.0 99.00
2003 05 29 03 333  6.0  6.9  0.58  4.55  3.77 999 1011.0   6.1   2.0 999.0 99.0 99.00
2003 05 29 04 331  4.2  4.9  0.54  4.00  3.67 999 1011.0   4.5   2.0 999.0 99.0 99.00
2003 05 29 05 325  4.4  4.9  0.49  4.55  3.73 999 1010.9   5.0   2.0 999.0 99.0 99.00
2003 05 29 06 305  4.1  4.7  0.44  4.00  3.66 999 1011.2   4.4   2.0 999.0 99.0 99.00
2003 05 29 07 313  3.9  4.5  0.43  4.35  3.71 999 1011.0   4.4   2.0 999.0 99.0 99.00
2003 05 29 08 302  3.6  4.1  0.41  4.35  3.63 999 1011.0   3.7   2.0 999.0 99.0 99.00
2003 05 29 09 305  4.5  5.3  0.33  4.17  3.59 999 1011.4   4.0   2.0 999.0 99.0 99.00
2003 05 29 10 312  3.7  4.0  0.30  4.17  3.49 999 1011.4   4.0   1.9 999.0 99.0 99.00
2003 05 29 11 307  3.2  3.6  0.25  3.70  3.44 999 1011.5   4.0   2.0 999.0 99.0 99.00
2003 05 29 12 292  3.4  3.7  0.21  3.57  3.29 999 1011.5   4.0   2.0 999.0 99.0 99.00
2003 05 29 13 298  2.7  3.2  0.20  3.57  3.32 999 1011.6   4.3   2.0 999.0 99.0 99.00
2003 05 29 14 279  2.0  2.3  0.16  3.33  3.19 999 1011.5   4.0   2.0 999.0 99.0 99.00
2003 05 29 15 232  2.3  3.1  0.00  0.00  0.00 999 1011.5   4.3   2.0 999.0 99.0 99.00
2003 05 29 16 222  3.1  3.6  0.00  0.00  0.00 999 1011.5   4.0   2.0 999.0 99.0 99.00
2003 05 29 17 209  4.0  4.7  0.00  0.00  0.00 999 1010.7   3.9   2.0 999.0 99.0 99.00
2003 05 29 18 213  5.4  6.3  0.00  0.00  0.00 999 1009.9   4.4   2.0 999.0 99.0 99.00
2003 05 29 19 216  5.1  5.7  0.20  2.56  2.78 999 1009.3   4.7   2.0 999.0 99.0 99.00
2003 05 29 20 215  3.8  4.2  0.24  2.70  2.84 999 1008.4   4.7   2.0 999.0 99.0 99.00
2003 05 29 21 201  4.4  5.1  0.26  2.78  2.89 999 1007.4   4.8   2.0 999.0 99.0 99.00
2003 05 29 22 195  3.0  3.5  0.29  3.03  2.95 999 1006.9   4.4   2.0 999.0 99.0 99.00
2003 05 29 23  51  2.1  3.8  0.33  3.13  3.08 999 1007.3   4.8   2.0 999.0 99.0 99.00
2003 05 30 00 142  2.5  4.7  0.33  3.23  3.10 999 1006.1   4.1   2.0 999.0 99.0 99.00
2003 05 30 01 123  3.8  4.7  0.28  3.45  3.15 999 1005.8   4.6   2.0 999.0 99.0 99.00
2003 05 30 02 122  3.4  3.8  0.25  3.03  3.04 999 1005.3   4.7   2.0 999.0 99.0 99.00
2003 05 30 03  99  1.9  4.0  0.21  3.03  3.01 999 1005.2   4.2   2.0 999.0 99.0 99.00
2003 05 30 04 161  3.3  4.6  0.18  2.70  2.95 999 1004.4   4.5   2.0 999.0 99.0 99.00
2003 05 30 05  99  4.1  4.9  0.16  2.56  2.92 999 1003.9   5.1   2.0 999.0 99.0 99.00
2003 05 30 06  50  2.6  3.3  0.20  2.50  2.80 999 1004.0   3.9   2.0 999.0 99.0 99.00
2003 05 30 07  94  3.5  4.2  0.18  2.56  2.80 999 1003.0   3.7   2.0 999.0 99.0 99.00
2003 05 30 08  78  4.8  5.7  0.18  2.86  2.85 999 1003.0   4.4   2.0 999.0 99.0 99.00
2003 05 30 09 112  5.0  5.4  0.18  2.86  2.87 999 1002.9   4.3   2.0 999.0 99.0 99.00
2003 05 30 10 145  4.4  4.8  0.20  2.78  2.84 999 1002.9   3.9   2.0 999.0 99.0 99.00
2003 05 30 11  87  2.2  4.3  0.22  2.70  2.86 999 1003.5   3.9   2.0 999.0 99.0 99.00
2003 05 30 12 116  3.9  4.3  0.23  2.78  2.95 999 1002.9   3.5   2.0 999.0 99.0 99.00
2003 05 30 13 138  3.6  4.3  0.26  3.13  3.03 999 1002.9   3.5   2.0 999.0 99.0 99.00
2003 05 30 14  77  0.3  2.9  0.22  3.23  3.04 999 1003.5   3.5   2.0 999.0 99.0 99.00
2003 05 30 15  40  4.0  4.9  0.24  3.03  3.06 999 1003.8   3.3   2.0 999.0 99.0 99.00
2003 05 30 16  73  4.3  5.3  0.26  3.03  3.06 999 1004.0   3.1   2.0 999.0 99.0 99.00
2003 05 30 17  71  6.2  7.2  0.25  3.23  3.04 999 1003.8   3.2   2.0 999.0 99.0 99.00
2003 05 30 18  76  6.7  7.6  0.34  3.23  3.02 999 1004.3   4.3   2.0 999.0 99.0 99.00
2003 05 30 19  56  8.1  9.5  0.44  3.57  3.18 999 1004.6   4.8   2.0 999.0 99.0 99.00
2003 05 30 20  45  8.7 10.3  0.48  3.70  3.19 999 1005.0   4.4   2.0 999.0 99.0 99.00
2003 05 30 21  40  9.6 11.4  0.62  3.23  3.26 999 1005.3   4.8   2.0 999.0 99.0 99.00
2003 05 30 22  37  9.4 11.2  0.82  3.85  3.52 999 1006.2   4.7   2.0 999.0 99.0 99.00
2003 05 30 23  31  7.1  8.1  0.79  4.00  3.63 999 1007.4   4.4   2.0 999.0 99.0 99.00
2003 05 31 00  27  8.6  9.8  0.87  4.35  3.76 999 1008.3   4.6   2.0 999.0 99.0 99.00
2003 05 31 01  31  7.9  9.1  0.92  4.35  3.82 999 1009.4   4.7   2.0 999.0 99.0 99.00
2003 05 31 02  43  8.5  9.9  0.94  4.76  3.85 999 1010.1   4.8   2.0 999.0 99.0 99.00
2003 05 31 03  40  7.2  8.0  0.90  4.76  3.92 999 1011.5   4.7   2.0 999.0 99.0 99.00
2003 05 31 04  18  6.2  7.6  0.83  5.26  4.03 999 1012.6   3.7   2.0 999.0 99.0 99.00
2003 05 31 05  26  9.5 11.3  0.83  5.00  3.98 999 1013.3   4.6   2.0 999.0 99.0 99.00
2003 05 31 06  35  6.4  7.6  1.03  5.00  3.96 999 1014.1   4.0   2.0 999.0 99.0 99.00
2003 05 31 07  23  7.7  9.1  1.07  4.55  4.05 999 1014.7   3.6   2.0 999.0 99.0 99.00
2003 05 31 08  18  7.5  8.8  1.02  5.00  4.00 999 1015.0   3.2   2.0 999.0 99.0 99.00
2003 05 31 09  11  6.2  7.3  0.92  4.55  4.00 999 1015.7   2.9   2.0 999.0 99.0 99.00
2003 05 31 10   4  5.6  6.5  0.90  4.76  4.04 999 1016.5   2.8   2.0 999.0 99.0 99.00
2003 05 31 11 347  4.6  5.4  0.79  5.00  4.11 999 1017.4   2.5   2.0 999.0 99.0 99.00
2003 05 31 12 353  5.5  6.2  0.66  4.76  3.95 999 1018.1   2.8   2.0 999.0 99.0 99.00
2003 05 31 13 347  4.7  5.4  0.67  4.76  3.93 999 1018.7   2.8   2.0 999.0 99.0 99.00
2003 05 31 14 336  4.1  4.8  0.57  4.76  3.73 999 1018.9   2.7   2.0 999.0 99.0 99.00
2003 05 31 15 297  2.1  2.5  0.50  4.35  3.70 999 1018.9   2.8   2.0 999.0 99.0 99.00
2003 05 31 16 272  2.9  3.3  0.42  4.35  3.70 999 1018.7   2.9   2.0 999.0 99.0 99.00
2003 05 31 17 273  4.0  4.5  0.36  4.17  3.77 999 1018.7   3.2   2.0 999.0 99.0 99.00
2003 05 31 18 253  4.0  4.8  0.31  4.00  3.83 999 1018.3   3.3   2.0 999.0 99.0 99.00
2003 05 31 19 247  5.9  7.1  0.28  3.70  3.93 999 1018.0   3.5   2.0 999.0 99.0 99.00
2003 05 31 20 251  6.6  7.7  0.28  2.50  3.27 999 1017.8   3.6   2.0 999.0 99.0 99.00
2003 05 31 21 246  7.0  7.9  0.41  2.94  3.04 999 1017.4   3.8   2.0 999.0 99.0 99.00
2003 05 31 22 248  6.9  7.9  0.47  3.13  3.10 999 1017.2   3.9   2.0 999.0 99.0 99.00
2003 05 31 23 245  6.4  7.4  0.72  3.70  3.45 999 1016.6   3.8   2.0 999.0 99.0 99.00
2003 06 01 00 249  7.2  8.2  0.70  4.00  3.60 999 1016.4   3.7   2.0 999.0 99.0 99.00
2003 06 01 01 249  7.3  8.2  0.75  4.17  3.72 999 1016.5   4.0   2.0 999.0 99.0 99.00
2003 06 01 02 249  7.3  8.3  0.86  4.35  3.83 999 1016.5   4.0   2.0 999.0 99.0 99.00
2003 06 01 03 239  6.2  7.5  0.76  4.17  3.75 999 1016.6   3.6   2.0 999.0 99.0 99.00
2003 06 01 04 240  5.3  6.1  0.64  4.35  3.67 999 1017.1   3.9   2.0 999.0 99.0 99.00
2003 06 01 05 225  6.0  6.9  0.57  3.85  3.56 999 1016.6   3.9   2.0 999.0 99.0 99.00
2003 06 01 06 213  6.2  7.1  0.54  3.85  3.41 999 1016.3   3.8   2.0 999.0 99.0 99.00
2003 06 01 07 225  5.3  6.2  0.44  3.85  3.27 999 1016.3   3.6   2.0 999.0 99.0 99.00
2003 06 01 08 230  4.7  5.6  0.37  3.23  3.28 999 1015.8   3.3   2.0 999.0 99.0 99.00
2003 06 01 09 236  5.5  6.3  0.47  3.70  3.40 999 1015.7   3.5   2.0 999.0 99.0 99.00
2003 06 01 10 239  6.3  7.3  0.56  3.70  3.50 999 1015.7   3.5   2.0 999.0 99.0 99.00
2003 06 01 11 240  6.8  8.2  0.69  4.00  3.59 999 1015.7   3.5   2.0 999.0 99.0 99.00
2003 06 01 12 236  6.7  7.7  0.67  3.85  3.60 999 1015.8   3.5   2.0 999.0 99.0 99.00
2003 06 01 13 232  6.1  6.9  0.67  4.00  3.59 999 1015.7   3.5   2.0 999.0 99.0 99.00
2003 06 01 14 240  4.7  5.6  0.60  3.85  3.56 999 1015.8   3.2   2.0 999.0 99.0 99.00
