YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 04 13 13 00  35  4.5  5.0 99.00 99.00 99.00 999 1025.7   3.5 999.0 999.0 99.0 99.00
2005 04 13 14 00  40  5.3  5.8 99.00 99.00 99.00 999 1026.4   3.3 999.0 999.0 99.0 99.00
2005 04 13 15 00  35  5.0  5.6 99.00 99.00 99.00 999 1027.1   3.5 999.0 999.0 99.0 99.00
2005 04 13 16 00  27  4.0  4.5 99.00 99.00 99.00 999 1027.5   3.6 999.0 999.0 99.0 99.00
2005 04 13 17 00 359  3.4  3.9 99.00 99.00 99.00 999 1028.0   3.6 999.0 999.0 99.0 99.00
2005 04 13 18 00 346  4.4  5.0 99.00 99.00 99.00 999 1028.1   3.5 999.0 999.0 99.0 99.00
2005 04 13 19 00 337  4.2  4.6 99.00 99.00 99.00 999 1028.0   3.5 999.0 999.0 99.0 99.00
2005 04 13 20 00 333  3.8  4.2 99.00 99.00 99.00 999 1027.7   3.8 999.0 999.0 99.0 99.00
2005 04 13 21 00 318  3.5  4.0 99.00 99.00 99.00 999 1027.5   4.0 999.0 999.0 99.0 99.00
2005 04 13 22 00 326  4.5  4.9  0.18  2.86  2.95 999 1027.4   4.2   2.0 999.0 99.0 99.00
2005 04 13 23 00 319  4.7  5.1  0.18  2.94  2.92 999 1027.4   5.2   2.0 999.0 99.0 99.00
2005 04 14 00 00 314  4.9  5.4  0.20  2.94  2.87 999 1027.3   4.4   2.0 999.0 99.0 99.00
2005 04 14 01 00 344  6.0  6.5  0.21  2.86  2.89 999 1027.4   4.6   2.0 999.0 99.0 99.00
2005 04 14 02 00 350  5.3  6.1  0.28  3.13  2.95 999 1027.7   4.3   1.9 999.0 99.0 99.00
2005 04 14 03 00   7  5.2  6.1  0.36  3.03  3.10 999 1027.5   4.4   1.9 999.0 99.0 99.00
2005 04 14 04 00  20  4.6  5.1  0.37  3.33  3.13 999 1027.7   4.1   2.0 999.0 99.0 99.00
2005 04 14 05 00  47  4.8  5.3  0.32  3.33  3.08 999 1027.8   4.6   2.0 999.0 99.0 99.00
2005 04 14 06 00  56  4.2  4.7  0.27  3.13  3.02 999 1028.0   4.9   2.0 999.0 99.0 99.00
2005 04 14 07 00  45  4.3  4.7  0.28  3.13  3.10 999 1028.3   4.1   2.0 999.0 99.0 99.00
2005 04 14 08 00  43  3.9  4.4  0.22  3.33  3.07 999 1028.7   3.4   2.0 999.0 99.0 99.00
2005 04 14 09 00  41  2.6  3.1  0.19  2.94  2.98 999 1029.1   3.0   2.0 999.0 99.0 99.00
2005 04 14 10 00  39  2.5  2.8  0.16  3.03  2.94 999 1029.6   2.9   2.0 999.0 99.0 99.00
2005 04 14 11 00  78  1.9  2.9  0.19  2.86  2.97 999 1030.1   2.8   2.0 999.0 99.0 99.00
2005 04 14 12 00  88  4.9  5.7  0.25  3.03  3.02 999 1030.6   2.4   2.0 999.0 99.0 99.00
2005 04 14 13 00  83  5.2  6.8  0.37  3.70  3.28 999 1031.0   1.9   2.0 999.0 99.0 99.00
2005 04 14 14 00  81  6.1  6.9  0.66  4.00  3.60 999 1031.5   1.7   2.0 999.0 99.0 99.00
2005 04 14 15 00  96  6.0  6.7  0.97  4.76  4.05 999 1031.7   1.6   2.0 999.0 99.0 99.00
2005 04 14 16 00  85  5.8  6.6  0.80  5.00  3.87 999 1032.0   1.5   2.0 999.0 99.0 99.00
2005 04 14 17 00  55  3.3  3.8  0.79  5.56  4.00 999 1032.1   1.8   2.0 999.0 99.0 99.00
2005 04 14 18 00  40  1.1  1.5  0.83  5.26  4.12 999 1031.8   2.1   2.1 999.0 99.0 99.00
2005 04 14 19 00   4  1.7  2.4  0.76  5.00  4.05 999 1031.4   2.1   2.1 999.0 99.0 99.00
2005 04 14 20 00 348  2.5  3.0  0.63  4.55  3.87 999 1030.9   2.1   2.1 999.0 99.0 99.00
2005 04 14 21 00 339  2.6  3.0  0.54  4.55  3.83 999 1030.7   2.3   2.0 999.0 99.0 99.00
2005 04 14 22 00 340  3.0  3.5  0.44  4.55  3.65 999 1030.4   2.3   2.1 999.0 99.0 99.00
2005 04 14 23 00 351  2.8  3.2  0.37  3.70  3.55 999 1030.1   2.4   2.1 999.0 99.0 99.00
2005 04 15 00 00  14  2.2  2.7  0.30  3.70  3.33 999 1029.7   2.5   2.1 999.0 99.0 99.00
2005 04 15 01 00  39  2.2  2.6  0.25  3.57  3.27 999 1029.7   2.4   2.1 999.0 99.0 99.00
2005 04 15 02 00  39  2.8  3.1  0.23  3.45  3.24 999 1029.8   2.5   2.0 999.0 99.0 99.00
2005 04 15 03 00  35  2.6  3.0  0.19  3.13  3.22 999 1029.5   2.5   2.0 999.0 99.0 99.00
2005 04 15 04 00  79  2.2  2.3  0.17  3.70  3.26 999 1029.4   2.8   2.0 999.0 99.0 99.00
2005 04 15 05 00 116  3.2  3.6  0.16  3.45  3.28 999 1029.4   3.3   2.0 999.0 99.0 99.00
2005 04 15 06 00 167  3.7  4.4  0.00  0.00  0.00 999 1029.7   2.5   1.9 999.0 99.0 99.00
