YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 04 04 00 303  3.3  3.6   .22  3.45  3.32 999 1021.9   3.8   2.4 999.0 99.0
98 04 04 01 307  3.0  3.5   .17  3.45  3.31 999 1022.1   3.2   2.3 999.0 99.0
98 04 04 02 327  3.4  3.6   .00   .00   .00 999 1022.3   3.0   2.3 999.0 99.0
98 04 04 03 332  2.2  2.5   .00   .00   .00 999 1022.1   2.9   2.3 999.0 99.0
98 04 04 04 349  2.9  3.2   .00   .00   .00 999 1021.7   3.0   2.3 999.0 99.0
98 04 04 05  30  3.8  4.2   .00   .00   .00 999 1021.5   3.4   2.2 999.0 99.0
98 04 04 06  47  5.1  5.9   .00   .00   .00 999 1021.5   3.6   2.3 999.0 99.0
98 04 04 07  57  6.9  8.2   .18  2.63  2.76 999 1021.4   3.5   2.3 999.0 99.0
98 04 04 08  62  6.3  7.2   .42  2.86  2.98 999 1021.7   3.1   2.3 999.0 99.0
98 04 04 09  68  5.3  6.2   .48  3.45  3.25 999 1021.9   2.7   2.3 999.0 99.0
98 04 04 10  56  4.9  5.5   .46  3.70  3.32 999 1022.3   2.4   2.3 999.0 99.0
98 04 04 11  46  5.2  6.0   .37  3.57  3.25 999 1022.9   2.0   2.3 999.0 99.0
98 04 04 12  51  5.1  5.7   .46  3.70  3.34 999 1023.6   1.7   2.3 999.0 99.0
98 04 04 13  53  4.8  5.4   .44  3.70  3.35 999 1024.1   1.8   2.3 999.0 99.0
98 04 04 14  45  4.7  5.5   .43  3.70  3.41 999 1024.6   1.7   2.3 999.0 99.0
98 04 04 15  51  4.4  5.0   .45  3.85  3.52 999 1024.6   1.6   2.3 999.0 99.0
98 04 04 16  54  3.5  4.1   .42  3.85  3.48 999 1024.7   1.3   2.4 999.0 99.0
98 04 04 17  65  2.7  3.2   .41  4.00  3.45 999 1024.6   1.1   2.4 999.0 99.0
98 04 04 18  91  1.4  1.7   .37  3.85  3.43 999 1024.1   1.0   2.4 999.0 99.0
98 04 04 19 130  1.8  2.1   .34  3.85  3.37 999 1023.6   1.1   2.4 999.0 99.0
98 04 04 20 177  2.7  3.2   .35  3.85  3.45 999 1023.0   1.3   2.5 999.0 99.0
98 04 04 21 191  3.3  3.8   .39  3.85  3.55 999 1022.1   1.7   2.5 999.0 99.0
98 04 04 22 204  3.2  3.6   .32  3.70  3.44 999 1021.7   2.3   2.5 999.0 99.0
98 04 04 23 185  1.8  2.1   .27  3.57  3.42 999 1021.5   2.7   2.4 999.0 99.0
98 04 05 00 191  1.9  2.2   .22  3.45  3.31 999 1021.1   2.5   2.4 999.0 99.0
98 04 05 01 179  1.1  1.3   .19  3.33  3.22 999 1021.2   1.9   2.3 999.0 99.0
98 04 05 02 108  1.4  1.8   .17  3.12  3.20 999 1021.4   1.7   2.2 999.0 99.0
98 04 05 03 195  1.1  1.3   .00   .00   .00 999 1021.2   1.6   2.1 999.0 99.0
98 04 05 04 131  1.1  1.2   .00   .00   .00 999 1021.1   1.5   2.1 999.0 99.0
98 04 05 05  59   .8  1.0   .00   .00   .00 999 1021.4    .8   2.2 999.0 99.0
98 04 05 06  67  2.3  2.5   .00   .00   .00 999 1021.5   1.2   2.0 999.0 99.0
98 04 05 07  68  2.4  2.8   .00   .00   .00 999 1021.6   1.9   2.0 999.0 99.0
98 04 05 08  76  2.8  3.2   .00   .00   .00 999 1021.2   2.0   2.1 999.0 99.0
98 04 05 09  86  3.3  3.8   .00   .00   .00 999 1020.9   2.1   2.2 999.0 99.0
98 04 05 10  89  3.2  3.8   .00   .00   .00 999 1021.0   2.1   2.2 999.0 99.0
98 04 05 11  86  3.4  4.0   .00   .00   .00 999 1021.0   2.0   2.2 999.0 99.0
98 04 05 12  91  3.8  4.3   .00   .00   .00 999 1021.1   2.2   2.2 999.0 99.0
98 04 05 13  94  3.4  3.9   .00   .00   .00 999 1021.6   2.6   2.2 999.0 99.0
98 04 05 14  96  3.4  4.0   .00   .00   .00 999 1021.8   2.6   2.3 999.0 99.0
98 04 05 15  99  3.7  4.3   .00   .00   .00 999 1021.6   2.5   2.3 999.0 99.0
98 04 05 16 111  3.6  4.0   .00   .00   .00 999 1021.4   2.4   2.4 999.0 99.0
98 04 05 17 115  3.4  3.7   .00   .00   .00 999 1021.1   2.4   2.4 999.0 99.0
98 04 05 18 114  3.2  3.6   .00   .00   .00 999 1020.7   2.4   2.5 999.0 99.0
98 04 05 19 116  2.8  3.4   .00   .00   .00 999 1020.3   2.4   2.5 999.0 99.0
98 04 05 20 113  2.6  3.0   .00   .00   .00 999 1019.7   2.3   2.5 999.0 99.0
98 04 05 21 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 04 05 22 136  1.3  1.4   .00   .00   .00 999 1018.8   2.4   2.5 999.0 99.0
98 04 05 23  94  1.8  1.9   .00   .00   .00 999 1018.2   2.3   2.4 999.0 99.0
98 04 06 00  93  2.0  2.2   .00   .00   .00 999 1017.4   2.2   2.4 999.0 99.0
98 04 06 01  88  2.9  3.4   .00   .00   .00 999 1016.9   1.7   2.3 999.0 99.0
98 04 06 02  88  2.3  2.6   .00   .00   .00 999 1016.7   1.7   2.3 999.0 99.0
98 04 06 03  88  3.0  3.4   .00   .00   .00 999 1016.5   1.8   2.3 999.0 99.0
98 04 06 04 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
98 04 06 05 107  2.9  3.6   .00   .00   .00 999 1016.5   2.0   2.3 999.0 99.0
98 04 06 06 126  2.8  3.2   .00   .00   .00 999 1016.4   2.0   2.3 999.0 99.0
98 04 06 07 148  3.6  4.4   .00   .00   .00 999 1016.5   2.1   2.3 999.0 99.0
98 04 06 08 139  3.4  4.0   .00   .00   .00 999 1016.3   2.0   2.3 999.0 99.0
98 04 06 09 116  3.7  4.2   .00   .00   .00 999 1015.7   2.0   2.3 999.0 99.0
98 04 06 10 119  4.9  5.4   .00   .00   .00 999 1015.4   2.0   2.3 999.0 99.0
98 04 06 11 120  5.3  6.0   .17  2.56  2.78 999 1015.3   2.1   2.3 999.0 99.0
98 04 06 12 135  4.7  5.3   .23  2.63  2.79 999 1015.4   2.5   2.3 999.0 99.0
98 04 06 13 136  4.8  5.6   .23  2.78  2.84 999 1015.2   2.9   2.3 999.0 99.0
98 04 06 14 138  4.9  5.7   .25  2.70  2.82 999 1015.0   3.1   2.3 999.0 99.0
98 04 06 15 133  5.2  6.0   .26  3.03  2.89 999 1015.1   3.0   2.4 999.0 99.0
98 04 06 16 130  4.9  5.7   .28  2.94  2.91 999 1015.0   3.0   2.4 999.0 99.0
98 04 06 17 133  4.6  5.5   .26  2.86  2.94 999 1015.0   3.1   2.4 999.0 99.0
98 04 06 18 133  4.2  4.9   .25  2.94  2.95 999 1014.9   3.2   2.4 999.0 99.0
98 04 06 19 128  4.3  5.1   .27  3.03  2.97 999 1014.7   3.1   2.5 999.0 99.0
