YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 04 11 05 103  8.6 10.3  1.02  4.35  3.82 999 1026.1   2.0   1.7 999.0 99.0 99.00
2002 04 11 06 104  8.9 10.4  1.09  4.55  3.99 999 1025.2   2.3   1.7 999.0 99.0 99.00
2002 04 11 07 105 10.7 13.3  1.25  4.55  4.12 999 1023.6   2.1   1.7 999.0 99.0 99.00
2002 04 11 08 103 11.7 14.8  1.52  5.26  4.43 999 1021.6   2.4   1.7 999.0 99.0 99.00
2002 04 11 09 104 11.3 13.5  2.01  5.56  4.87 999 1020.2   2.4   1.7 999.0 99.0 99.00
2002 04 11 10 106 11.0 13.0  2.30  6.25  5.20 999 1018.5   2.5   1.6 999.0 99.0 99.00
2002 04 11 11 125 11.4 13.8  2.22  6.67  5.31 999 1017.5   2.7   1.6 999.0 99.0 99.00
2002 04 11 12 132 12.0 15.4  2.53  6.67  5.51 999 1016.6   2.8   1.6 999.0 99.0 99.00
2002 04 11 13 133 11.3 13.8  2.64  6.67  5.51 999 1016.6   2.8   1.6 999.0 99.0 99.00
2002 04 11 14 133 10.0 11.8  2.26  7.69  5.39 999 1016.2   2.8   1.6 999.0 99.0 99.00
2002 04 11 15 133  8.8 10.3  2.26  7.14  5.45 999 1015.7   2.8   1.6 999.0 99.0 99.00
2002 04 11 16 140  7.2  8.4  1.99  7.14  5.37 999 1015.8   2.9   1.6 999.0 99.0 99.00
2002 04 11 17 131  6.2  7.2  1.81  7.14  5.23 999 1015.1   2.9   1.7 999.0 99.0 99.00
2002 04 11 18 135  5.5  6.3  1.74  7.14  5.42 999 1014.8   2.8   1.7 999.0 99.0 99.00
2002 04 11 19 136  4.3  5.1  1.61  7.14  5.44 999 1014.2   2.7   1.7 999.0 99.0 99.00
2002 04 11 20 145  4.1  5.2  1.44  6.67  5.27 999 1013.1   2.8   1.7 999.0 99.0 99.00
2002 04 11 21 144  5.1  6.2  1.35  6.67  5.16 999 1012.5   2.8   1.7 999.0 99.0 99.00
2002 04 11 22 161  3.2  3.6  1.29  6.67  5.22 999 1012.4   2.8   1.7 999.0 99.0 99.00
2002 04 11 23 150  2.0  2.3  1.32  6.25  5.17 999 1012.4   2.5   1.7 999.0 99.0 99.00
2002 04 12 00 343  3.2  3.7  1.32  6.25  5.21 999 1011.6   2.4   1.7 999.0 99.0 99.00
2002 04 12 01 329  1.1  2.1  1.18  5.88  5.04 999 1011.8   2.4   1.7 999.0 99.0 99.00
2002 04 12 02 334  2.5  3.0  1.07  5.56  4.83 999 1011.8   2.4   1.7 999.0 99.0 99.00
2002 04 12 03 335  3.3  3.7  1.08  5.88  5.00 999 1011.7   2.1   1.7 999.0 99.0 99.00
2002 04 12 04 326  5.8  6.7  0.89  5.56  4.83 999 1011.6   2.0   1.7 999.0 99.0 99.00
2002 04 12 05 330  5.1  6.1  0.78  5.88  4.62 999 1012.0   2.0   1.7 999.0 99.0 99.00
