YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
90 04 15 22 244 01.0 01.4 00.80 05.30 04.30 999 1014.1  00.4 999.0 999.0 99.0
90 04 15 23 238 05.2 06.2 00.60 04.50 04.10 999 1014.5  00.1 999.0 999.0 99.0
90 04 16 00 224 04.4 05.3 00.60 04.50 04.10 999 1014.5  00.1 999.0 999.0 99.0
90 04 16 01 195 03.7 04.3 00.50 04.20 03.90 999 1014.3  00.1 999.0 999.0 99.0
90 04 16 02 185 03.9 04.8 00.40 04.30 04.00 999 1014.1  00.1 999.0 999.0 99.0
90 04 16 03 167 04.4 05.2 00.30 04.50 04.00 999 1013.5  00.4 999.0 999.0 99.0
90 04 16 04 174 04.8 06.4 00.30 04.80 04.10 999 1013.3  00.4 999.0 999.0 99.0
90 04 16 05 183 06.9 08.4 00.30 05.00 03.50 999 1012.7  00.1 999.0 999.0 99.0
90 04 16 06 183 07.0 08.2 00.50 03.00 03.30 999 1012.6  00.1 999.0 999.0 99.0
90 04 16 07 175 06.5 07.5 00.60 03.40 03.50 999 1011.8  00.1 999.0 999.0 99.0
90 04 16 08 196 07.0 08.1 00.70 03.80 03.60 999 1011.6  00.4 999.0 999.0 99.0
90 04 16 09 213 07.8 09.5 00.90 04.30 03.80 999 1010.9  00.0 999.0 999.0 99.0
90 04 16 10 180 08.4 10.1 00.80 04.20 03.70 999 1010.0 -00.4 999.0 999.0 99.0
90 04 16 11 174 07.8 10.2 01.10 04.80 04.00 999 1010.1  00.0 999.0 999.0 99.0
90 04 16 12 148 07.2 08.5 99.00 99.00 99.00 999 1010.1  00.0 999.0 999.0 99.0
90 04 16 13 158 08.1 09.7 01.00 04.80 04.00 999 1009.6  00.0 999.0 999.0 99.0
90 04 16 14 163 07.7 09.6 01.20 05.00 04.20 999 1008.8  00.1 999.0 999.0 99.0
90 04 16 15 168 07.2 08.4 01.10 05.00 04.20 999 1008.4 -00.6 999.0 999.0 99.0
90 04 16 16 170 06.0 07.5 01.10 05.30 04.30 999 1008.5 -00.6 999.0 999.0 99.0
90 04 16 17 169 04.7 05.6 01.10 05.30 04.40 999 1007.9 -00.8 999.0 999.0 99.0
90 04 16 18 201 03.0 03.8 01.00 05.30 04.30 999 1007.7 -00.4 999.0 999.0 99.0
90 04 16 19 286 02.2 02.7 00.90 05.30 04.40 999 1007.5  00.0  00.7 999.0 99.0
90 04 16 20 296 04.8 06.4 00.80 05.30 04.50 999 1007.4  00.4  00.7 999.0 99.0
90 04 16 22 320 04.9 05.8 00.70 05.30 04.60 999 1007.7  00.1  00.7 999.0 99.0
90 04 16 23 314 05.7 07.3 00.70 05.60 04.50 999 1008.4  00.0  00.7 999.0 99.0
90 04 17 00 334 11.5 14.4 00.80 05.90 03.70 999 1008.3  00.5  00.6 999.0 99.0
90 04 17 01 340 07.7 10.3 01.10 04.00 04.00 999 1009.3  00.4  00.6 999.0 99.0
90 04 17 02 328 06.9 08.5 01.00 04.30 04.20 999 1010.1  00.4  00.6 999.0 99.0
90 04 17 03 320 12.1 15.4 01.00 04.20 03.80 999 1010.4  00.5  00.6 999.0 99.0
90 04 17 04 329 13.8 16.4 01.60 05.00 04.30 999 1010.9 -00.8  00.6 999.0 99.0
90 04 17 05 323 12.6 16.0 02.00 05.60 04.80 999 1011.8 -01.8  00.6 999.0 99.0
90 04 17 06 325 12.7 15.2 02.50 06.20 05.30 999 1012.6 -02.6  00.6 999.0 99.0
90 04 17 07 330 13.4 16.7 02.70 06.70 05.50 999 1012.9 -03.4  00.6 999.0 99.0
90 04 17 08 336 15.3 19.9 03.00 07.10 05.50 999 1013.1 -04.2  00.6 999.0 99.0
90 04 17 09 341 14.8 18.0 02.80 07.10 05.60 999 1013.9 -04.1  00.6 999.0 99.0
90 04 17 10 335 14.1 18.0 02.80 07.10 05.60 999 1015.1 -04.5  00.6 999.0 99.0
90 04 17 11 340 15.0 18.7 02.70 07.10 05.50 999 1016.1 -04.7  00.6 999.0 99.0
90 04 17 12 341 14.2 17.6 02.90 07.10 05.70 999 1017.9 -04.7  00.6 999.0 99.0
90 04 17 13 347 13.8 17.5 02.50 06.70 05.50 999 1019.2 -04.9  00.6 999.0 99.0
90 04 17 14 342 12.2 14.7 02.20 06.70 05.30 999 1020.3 -05.2  00.6 999.0 99.0
90 04 17 15 344 10.7 13.8 02.20 06.20 05.10 999 1021.3 -05.2  00.6 999.0 99.0
90 04 17 16 340 10.2 12.7 02.00 05.90 05.00 999 1022.2 -05.4  00.6 999.0 99.0
90 04 17 17 331 09.1 11.7 01.60 05.90 04.70 999 1022.6 -04.7  00.6 999.0 99.0
90 04 17 18 329 09.1 11.2 01.40 05.30 04.50 999 1023.2 -03.8  00.7 999.0 99.0
90 04 17 19 299 05.4 06.8 01.20 05.30 04.30 999 1023.8 -03.5  00.7 999.0 99.0
90 04 17 20 275 04.9 06.3 00.90 05.00 04.20 999 1023.9 -03.0  00.7 999.0 99.0
90 04 17 22 242 08.7 11.1 00.70 04.20 03.60 999 1023.3 -01.1  00.7 999.0 99.0
90 04 17 23 250 09.7 12.1 01.10 04.80 04.00 999 1022.9 -00.4  00.7 999.0 99.0
90 04 18 00 246 09.8 12.6 01.40 04.80 04.20 999 1022.8 -00.3  00.7 999.0 99.0
90 04 18 01 243 08.4 10.2 01.40 05.60 04.40 999 1022.4  00.1  00.7 999.0 99.0
90 04 18 02 255 08.0 09.3 01.50 05.60 04.60 999 1022.2  00.5  00.7 999.0 99.0
90 04 18 03 250 06.2 08.1 01.40 05.90 04.60 999 1022.2  00.8  00.6 999.0 99.0
90 04 18 04 247 06.0 07.3 01.30 05.90 04.90 999 1021.5  01.2  00.6 999.0 99.0
90 04 18 05 220 05.4 06.3 01.10 05.90 04.70 999 1020.9  01.3  00.6 999.0 99.0
90 04 18 06 191 04.1 05.0 00.90 05.90 04.50 999 1020.5  01.6  00.6 999.0 99.0
90 04 18 07 217 07.4 09.4 00.90 05.90 04.30 999 1019.7  02.0  00.6 999.0 99.0
90 04 18 08 270 08.3 09.8 01.00 05.60 04.10 999 1019.2  01.6  00.6 999.0 99.0
90 04 18 09 293 06.7 08.1 01.10 05.00 04.30 999 1020.0  01.6  00.6 999.0 99.0
90 04 18 10 318 07.2 08.6 01.10 05.30 04.40 999 1020.8  01.2  00.6 999.0 99.0
90 04 18 11 310 06.0 07.3 01.00 05.60 04.40 999 1022.0  00.9  00.6 999.0 99.0
90 04 18 12 320 05.6 06.6 01.00 05.30 04.40 999 1022.9  01.3  00.6 999.0 99.0
90 04 18 13 305 03.5 04.3 01.00 05.90 04.40 999 1024.0  01.2  00.6 999.0 99.0
90 04 18 14 334 02.3 02.7 00.90 05.60 04.60 999 1024.5  01.2  00.7 999.0 99.0
90 04 18 15 234 02.0 02.6 01.00 05.90 04.80 999 1025.2  01.3  00.7 999.0 99.0
90 04 18 16 216 02.8 03.4 01.00 06.20 04.80 999 1025.2  01.6  00.7 999.0 99.0
90 04 18 17 220 03.2 04.0 01.00 06.20 04.90 999 1025.2  01.6  00.7 999.0 99.0
90 04 18 18 227 04.4 05.7 00.90 06.20 05.00 999 1024.6  01.6  00.7 999.0 99.0
90 04 18 19 243 06.2 07.3 00.90 06.20 04.80 999 1024.4  01.6  00.7 999.0 99.0
90 04 18 20 231 04.9 05.9 00.90 05.90 04.70 999 1023.8  01.7  00.7 999.0 99.0
