#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 12 01 50 341  9.4 11.0  1.39  5.26  3.97 999 9999.0   2.8   2.3 999.0 99.0 99.00
2008 05 12 02 50 345  9.9 11.7  1.60  5.26  4.18 999 1010.1   2.9   2.3 999.0 99.0 99.00
2008 05 12 03 50 346  9.8 12.0  1.67  5.88  4.28 999 1010.6   2.9   2.3 999.0 99.0 99.00
2008 05 12 04 50 350  9.9 11.8  1.64  5.56  4.28 999 1010.8   3.0   2.3 999.0 99.0 99.00
2008 05 12 05 50 346  9.6 11.4  1.55  5.56  4.27 999 1011.3   3.0   2.3 999.0 99.0 99.00
2008 05 12 06 50 354  9.7 11.7  1.61  5.26  4.24 999 1011.5   2.9   2.3 999.0 99.0 99.00
2008 05 12 07 50 354  8.7 10.1  1.49  5.26  4.17 999 1012.0   2.9   2.3 999.0 99.0 99.00
2008 05 12 08 50 345  8.0  9.3  1.26  5.26  3.95 999 1012.6   2.9   2.3 999.0 99.0 99.00
2008 05 12 09 50 352  8.4 10.5  1.24  5.00  3.90 999 1012.7   2.7   2.3 999.0 99.0 99.00
2008 05 12 10 50 360  8.5 10.3  1.18  5.00  3.76 999 1013.5   2.8   2.3 999.0 99.0 99.00
2008 05 12 11 50 359  8.2  9.7  1.13  5.00  3.71 999 1014.5   2.8   2.3 999.0 99.0 99.00
2008 05 12 12 50   5  7.6  8.9  1.13  4.76  3.77 999 1015.3   2.9   2.3 999.0 99.0 99.00
2008 05 12 13 50   2  7.3  8.5  1.07  4.76  3.77 999 1015.9   2.8   2.3 999.0 99.0 99.00
2008 05 12 14 50 358  6.1  7.5  0.87  4.35  3.58 999 1016.3   2.9   2.4 999.0 99.0 99.00
2008 05 12 15 50 351  5.5  6.4 99.00 99.00 99.00 999 1016.3   2.9   2.4 999.0 99.0 99.00
2008 05 12 16 50 339  5.1  6.0  0.75  4.17  3.55 999 1016.9   2.9   2.4 999.0 99.0 99.00
2008 05 12 17 50 337  4.9  5.7  0.64  4.17  3.42 999 1017.0   2.9   2.4 999.0 99.0 99.00
2008 05 12 18 50 336  4.2  4.8  0.51  3.85  3.24 999 1016.8   3.1   2.4 999.0 99.0 99.00
2008 05 12 19 50 331  3.1  3.5  0.46  3.85  3.18 999 1016.8   3.2   2.4 999.0 99.0 99.00
2008 05 12 20 50 319  2.6  2.9  0.39  3.85  3.12 999 1017.0   3.4   2.4 999.0 99.0 99.00
2008 05 12 21 50 320  2.2  2.5  0.38  3.33  3.14 999 1017.2   3.7   2.4 999.0 99.0 99.00
2008 05 12 22 50 280  3.4  3.8  0.34  3.45  3.12 999 1017.8   3.3   2.4 999.0 99.0 99.00
