YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2006 04 28 16 00 125  3.8  4.4  0.00  0.00  0.00 999 1028.6   2.5   2.7 999.0 99.0 99.00
2006 04 28 17 00 127  3.9  4.7  0.00  0.00  0.00 999 1028.7   2.5   2.7 999.0 99.0 99.00
2006 04 28 18 00 111  5.1  5.9  0.00  0.00  0.00 999 1028.1   2.5   2.7 999.0 99.0 99.00
2006 04 28 19 00 109  5.2  5.9  0.16  2.50  2.75 999 1027.8   2.6   2.7 999.0 99.0 99.00
2006 04 28 20 00  96  5.1  5.7  0.20  2.56  2.74 999 1027.2   2.9   2.7 999.0 99.0 99.00
2006 04 28 21 00 105  5.7  6.6  0.22  2.70  2.80 999 1027.0   3.1   2.7 999.0 99.0 99.00
2006 04 28 22 00 105  5.4  6.1  0.27  2.78  2.80 999 1026.8   3.6   2.7 999.0 99.0 99.00
2006 04 28 23 00 105  5.0  5.9  0.27  2.70  2.81 999 1026.9   3.6   2.6 999.0 99.0 99.00
2006 04 29 00 00 100  5.3  6.1  0.25  2.86  2.81 999 1026.5   3.8   2.6 999.0 99.0 99.00
2006 04 29 01 00 103  6.0  7.5  0.28  2.56  2.82 999 1025.9   4.0   2.6 999.0 99.0 99.00
2006 04 29 02 00 115  6.4  7.1  0.30  2.70  2.82 999 1026.3   4.4   2.6 999.0 99.0 99.00
2006 04 29 03 00 123  5.5  6.3  0.36  3.03  2.89 999 1026.7   4.2   2.6 999.0 99.0 99.00
2006 04 29 04 00 137  5.3  6.0  0.35  2.86  2.92 999 1026.9   4.2   2.6 999.0 99.0 99.00
2006 04 29 05 00 150  5.7  6.5  0.32  2.94  2.91 999 1026.8   4.8   2.6 999.0 99.0 99.00
2006 04 29 06 00 151  6.3  7.3  0.34  2.78  2.85 999 1027.2   5.0   2.6 999.0 99.0 99.00
2006 04 29 07 00 141  6.3  7.0  0.39  2.86  2.89 999 1026.8   4.5   2.6 999.0 99.0 99.00
2006 04 29 08 00 140  6.3  7.3  0.39  3.13  3.00 999 1027.1   4.1   2.6 999.0 99.0 99.00
2006 04 29 09 00 138  5.6  6.4  0.41  3.13  3.05 999 1027.7   3.8   2.6 999.0 99.0 99.00
