#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 05 03 02 50 218  0.6  1.5  0.01 99.00  5.34 999 1026.3   3.3   4.8 999.0 99.0 99.00
2011 05 03 03 50 227  1.1  2.4  0.01 99.00  5.78 999 1026.2   4.0   4.6 999.0 99.0 99.00
2011 05 03 04 50 256  2.8  4.2 99.00 99.00 99.00 999 1025.7   3.6   4.2 999.0 99.0 99.00
2011 05 03 05 50 161  1.6  3.6 99.00 99.00 99.00 999 1025.8   4.7   4.2 999.0 99.0 99.00
2011 05 03 06 50 132  0.7  1.9 99.00 99.00 99.00 999 1025.8   3.1   3.9 999.0 99.0 99.00
2011 05 03 07 50 342  1.4  2.4  0.01 99.00  5.63 999 1025.7   3.4   3.8 999.0 99.0 99.00
2011 05 03 08 50  61  0.9  2.1 99.00 99.00 99.00 999 1026.0   2.9   3.6 999.0 99.0 99.00
2011 05 03 09 50 180  0.1  0.4 99.00 99.00 99.00 999 1026.3   1.6   3.2 999.0 99.0 99.00
2011 05 03 10 50 180  0.0  0.1 99.00 99.00 99.00 999 1026.6   1.4   2.9 999.0 99.0 99.00
2011 05 03 11 50 180  0.0  0.0 99.00 99.00 99.00 999 1027.2   1.9   2.7 999.0 99.0 99.00
2011 05 03 12 50  62  0.5  1.1  0.01 99.00  6.09 999 1027.5   2.9   2.8 999.0 99.0 99.00
2011 05 03 13 50  47  1.0  1.8 99.00 99.00 99.00 999 1027.8   3.5   3.2 999.0 99.0 99.00
2011 05 03 14 50  56  1.2  1.9 99.00 99.00 99.00 999 1027.8   3.6   3.9 999.0 99.0 99.00
2011 05 03 15 50  45  1.0  1.6 99.00 99.00 99.00 999 1027.7   4.8   4.8 999.0 99.0 99.00
2011 05 03 16 50  54  1.1  2.1  0.01 99.00  5.13 999 1027.4   5.4   5.5 999.0 99.0 99.00
2011 05 03 17 50  49  1.2  2.0 99.00 99.00 99.00 999 1026.7   7.0   6.4 999.0 99.0 99.00
2011 05 03 18 50  73  1.3  2.1 99.00 99.00 99.00 999 1026.4   8.1   7.2 999.0 99.0 99.00
2011 05 03 19 50  35  0.9  1.6 99.00 99.00 99.00 999 1026.1   9.7   8.0 999.0 99.0 99.00
2011 05 03 20 50  28  0.9  2.3 99.00 99.00 99.00 999 1025.5  10.9   9.0 999.0 99.0 99.00
