#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 15 00 50 264  6.2  7.7  1.92  7.14  5.38 231 1018.1   4.1   2.0 999.0 99.0 99.00
2009 05 15 01 50 278  5.4  6.1  1.79  6.67  5.44 232 1019.4   3.6   2.0 999.0 99.0 99.00
2009 05 15 02 50 305  3.6  5.1  1.54  7.14  5.28 235 1020.4   2.9   2.0 999.0 99.0 99.00
2009 05 15 03 50 309  4.0  5.3  1.25  6.25  4.98 233 1020.4   2.8   2.0 999.0 99.0 99.00
2009 05 15 04 50 346  2.5  2.8  1.13  6.25  4.91 236 1021.2   2.8   2.0 999.0 99.0 99.00
2009 05 15 05 50  12  1.2  1.7  1.01  6.25  4.77 236 1021.3   2.4   2.0 999.0 99.0 99.00
2009 05 15 06 50 349  1.5  2.1  0.88  5.88  4.79 231 1021.9   2.3   1.9 999.0 99.0 99.00
2009 05 15 07 50 147  0.1  0.6  0.87  5.56  4.81 233 1022.8   2.1   1.7 999.0 99.0 99.00
2009 05 15 08 50 112  0.3  0.8  0.76  5.88  4.73 240 1023.3   2.1   1.7 999.0 99.0 99.00
2009 05 15 09 50 112  1.9  2.7  0.73  5.56  4.65 244 1023.6   2.0   1.7 999.0 99.0 99.00
2009 05 15 10 50 124  4.9  5.9  0.61  5.26  4.57 242 1023.6   2.4   2.0 999.0 99.0 99.00
2009 05 15 11 50 118  4.9  5.9  0.48  5.26  4.39 248 1023.9   2.5   2.0 999.0 99.0 99.00
2009 05 15 12 50 106  5.2  6.1  0.47  4.55  4.21 240 1023.7   2.8   2.0 999.0 99.0 99.00
2009 05 15 13 50 102  5.5  6.4  0.46  4.55  3.58 241 1023.0   2.8   2.0 999.0 99.0 99.00
2009 05 15 14 50  97  6.6  7.8  0.51  2.94  3.33 142 1022.1   2.7   2.0 999.0 99.0 99.00
2009 05 15 15 50  97  7.5  8.7  0.60  3.23  3.29 137 1021.3   2.4   2.0 999.0 99.0 99.00
2009 05 15 16 50 101  7.9  9.2  0.72  3.70  3.47 128 1020.5   2.5   2.0 999.0 99.0 99.00
2009 05 15 17 50 103  8.8 10.2  0.88  4.00  3.63 138 1019.7   2.4   2.0 999.0 99.0 99.00
2009 05 15 18 50  99  9.2 10.6  0.99  4.35  3.82 122 1017.5   2.7   2.0 999.0 99.0 99.00
2009 05 15 19 50 103  9.5 11.3  1.24  4.76  4.08 123 1016.2   3.1   2.0 999.0 99.0 99.00
2009 05 15 20 50 102  9.3 11.1  1.36  5.00  4.22 120 1014.5   3.5   2.0 999.0 99.0 99.00
2009 05 15 21 50 104  9.9 11.4  1.51  5.26  4.35 130 1012.9   4.3   2.0 999.0 99.0 99.00
2009 05 15 22 50 105  9.2 10.4  1.41  5.56  4.35 123 1011.8   4.7   2.0 999.0 99.0 99.00
2009 05 15 23 50 109 10.3 12.3  1.50  5.88  4.57 125 1010.1   5.1   2.1 999.0 99.0 99.00
2009 05 16 00 50 118 11.0 12.6  1.62  5.56  4.54 134 1008.7   5.6   2.1 999.0 99.0 99.00
2009 05 16 01 50 129 10.4 12.3  1.59  5.56  4.59 130 1007.4   6.3   2.1 999.0 99.0 99.00
2009 05 16 02 50 125 10.8 12.6  1.54  5.88  4.54 130 1006.1   5.9   2.1 999.0 99.0 99.00
2009 05 16 03 50 130 10.3 12.7  1.55  5.26  4.59 141 1006.0   6.0   2.1 999.0 99.0 99.00
2009 05 16 04 50 141 10.6 12.5  1.79  5.56  4.68 143 1004.3   5.6   2.1 999.0 99.0 99.00
2009 05 16 05 50 147  9.3 10.3  1.83  5.56  4.77 146 1003.3   5.4   2.1 999.0 99.0 99.00
2009 05 16 06 50 174  7.7  8.7  1.66  5.56  4.72 142 1002.9   5.6   2.1 999.0 99.0 99.00
2009 05 16 07 50 222  7.8  9.5  1.56  5.56  4.71 127 1003.0   3.6   2.1 999.0 99.0 99.00
2009 05 16 08 50 231  7.3  8.5  1.39  5.88  4.49 124 1003.4   3.6   2.1 999.0 99.0 99.00
