#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 05 16 20 50 241  5.6  8.3  0.02 99.00  8.52 999 1016.9   3.5 999.0 999.0 99.0 99.00
2014 05 16 21 50 245  5.9  9.0  0.02 99.00  7.84 999 1017.0   3.4 999.0 999.0 99.0 99.00
2014 05 16 22 50 264  6.0  9.2  0.02 99.00  8.85 999 1017.3   2.4 999.0 999.0 99.0 99.00
2014 05 16 23 50 268  6.0  8.3  0.01 99.00  6.93 999 1018.0   1.1 999.0 999.0 99.0 99.00
2014 05 17 00 50 255  5.6  7.3  0.02 99.00  8.01 999 1018.2   1.2 999.0 999.0 99.0 99.00
2014 05 17 01 50 265  6.0  8.1  0.01 99.00  6.35 999 1018.5   0.8 999.0 999.0 99.0 99.00
2014 05 17 02 50 273  4.4  6.6  0.02 99.00  8.03 999 1018.6   0.7 999.0 999.0 99.0 99.00
2014 05 17 03 50 262  2.6  3.7  0.02 99.00  8.20 999 1018.5   0.4 999.0 999.0 99.0 99.00
2014 05 17 04 50 278  2.7  3.8  0.02 99.00  8.83 999 1018.4   0.3 999.0 999.0 99.0 99.00
2014 05 17 05 50 231  2.8  4.9  0.02 99.00  8.88 999 1018.2   0.1 999.0 999.0 99.0 99.00
2014 05 17 06 50 255  3.8  5.5  0.01 99.00  7.29 999 1018.0   0.1 999.0 999.0 99.0 99.00
2014 05 17 07 50 251  3.2  4.3  0.01 99.00  6.78 999 1017.8  -0.2 999.0 999.0 99.0 99.00
2014 05 17 08 50 270  3.3  4.6  0.01 99.00  7.62 999 1017.8   0.0 999.0 999.0 99.0 99.00
2014 05 17 09 50 276  4.2  5.9  0.03 99.00 10.14 999 1017.7   0.1 999.0 999.0 99.0 99.00
2014 05 17 10 50 241  2.8  3.7  0.01 99.00  6.61 999 1018.1   0.1 999.0 999.0 99.0 99.00
2014 05 17 11 50 231  1.1  2.4  0.02 99.00  9.56 999 1018.5   0.0 999.0 999.0 99.0 99.00
2014 05 17 12 50 216  1.2  2.5  0.01 99.00  7.53 999 1018.8   0.5 999.0 999.0 99.0 99.00
2014 05 17 13 50 232  0.8  2.3  0.02 99.00  8.49 999 1018.5   1.6 999.0 999.0 99.0 99.00
2014 05 17 14 50 218  1.1  2.9  0.02 99.00  8.44 999 1018.3   3.4 999.0 999.0 99.0 99.00
