YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2003 05 22 19  86  2.4  2.9  0.15  4.00  3.22 999 1026.2   4.4   2.1 999.0 99.0 99.00
2003 05 22 20 108  1.0  1.3  0.00  0.00  0.00 999 1026.3   5.1   2.1 999.0 99.0 99.00
2003 05 22 21  47  3.2  3.5  0.00  0.00  0.00 999 1025.8   4.8   2.2 999.0 99.0 99.00
2003 05 22 22  54  4.0  4.5  0.00  0.00  0.00 999 1025.6   4.5   2.1 999.0 99.0 99.00
2003 05 22 23  42  3.4  3.7  0.00  0.00  0.00 999 1025.7   3.9   2.1 999.0 99.0 99.00
2003 05 23 00  41  3.1  3.6  0.00  0.00  0.00 999 1026.0   3.7   2.1 999.0 99.0 99.00
2003 05 23 01 357  4.1  4.5  0.00  0.00  0.00 999 1026.0   3.7   2.1 999.0 99.0 99.00
2003 05 23 02   4  4.7  5.5  0.00  0.00  0.00 999 1025.9   4.0   2.0 999.0 99.0 99.00
2003 05 23 03  21  5.4  6.0  0.00  0.00  0.00 999 1026.2   3.6   2.0 999.0 99.0 99.00
2003 05 23 04  26  5.3  6.1  0.00  0.00  0.00 999 1026.0   3.5   2.0 999.0 99.0 99.00
2003 05 23 05  34  5.5  6.3  0.00  0.00  0.00 999 1026.0   3.5   2.0 999.0 99.0 99.00
2003 05 23 06  53  4.6  5.3  0.19  2.50  2.76 999 1026.2   3.6   2.0 999.0 99.0 99.00
2003 05 23 07  49  3.9  4.9  0.26  2.63  2.88 999 1026.1   3.5   2.0 999.0 99.0 99.00
2003 05 23 08  45  4.5  5.1  0.30  2.94  2.93 999 1026.0   3.5   1.9 999.0 99.0 99.00
2003 05 23 09  63  5.7  6.4  0.36  3.13  2.98 999 1025.9   3.2   1.9 999.0 99.0 99.00
2003 05 23 10  62  5.4  6.2  0.36  2.94  3.01 999 1026.3   3.1   1.9 999.0 99.0 99.00
2003 05 23 11  55  3.4  4.0  0.38  3.13  3.06 999 1027.0   2.9   1.9 999.0 99.0 99.00
2003 05 23 12  67  3.6  4.1  0.34  3.23  3.15 999 1027.0   3.0   1.9 999.0 99.0 99.00
2003 05 23 13  64  2.3  2.7  0.32  3.23  3.13 999 1027.3   3.2   2.0 999.0 99.0 99.00
2003 05 23 14   1  3.3  4.3  0.29  3.23  3.18 999 1027.5   2.9   2.0 999.0 99.0 99.00
2003 05 23 15  61  3.4  4.0  0.26  3.23  3.14 999 1027.1   3.2   2.0 999.0 99.0 99.00
2003 05 23 16  54  2.8  3.3  0.27  3.33  3.17 999 1027.4   3.4   2.0 999.0 99.0 99.00
2003 05 23 17  40  3.3  3.6  0.28  3.13  3.10 999 1027.0   3.5   2.0 999.0 99.0 99.00
2003 05 23 18   2  3.1  3.5  0.23  2.94  3.04 999 1026.6   3.5   2.1 999.0 99.0 99.00
2003 05 23 19  21  3.1  3.4  0.20  2.94  2.96 999 1026.0   4.2   2.1 999.0 99.0 99.00
2003 05 23 20  14  3.1  3.4  0.16  2.78  3.00 999 1025.5   4.4   2.1 999.0 99.0 99.00
2003 05 23 21  22  4.1  4.3  0.00  0.00  0.00 999 1024.8   4.7   2.1 999.0 99.0 99.00
2003 05 23 22  39  2.9  3.2  0.00  0.00  0.00 999 1024.2   3.9   2.2 999.0 99.0 99.00
2003 05 23 23  50  4.1  4.6  0.00  0.00  0.00 999 1023.5   5.2   2.1 999.0 99.0 99.00
2003 05 24 00  45  3.6  3.7  0.00  0.00  0.00 999 1023.0   4.8   2.1 999.0 99.0 99.00
2003 05 24 01 354  2.3  2.8  0.00  0.00  0.00 999 1023.1   3.7   2.1 999.0 99.0 99.00
2003 05 24 02 347  1.6  1.8  0.00  0.00  0.00 999 1022.8   3.6   2.0 999.0 99.0 99.00
