YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
85 07 30 22 170 03.0 03.0 00.00 02.90 03.00 999 1022.7  10.1  07.8 999.0 99.0
85 07 30 23 160 02.0 02.0 00.00 02.60 02.90 999 1022.6  10.2  07.8 999.0 99.0
85 07 31 00 150 02.0 02.0 00.00 02.90 02.90 999 1022.5  10.1  07.7 999.0 99.0
85 07 31 01 160 02.0 02.0 00.00 02.90 02.90 999 1022.0  09.8  07.4 999.0 99.0
85 07 31 02 170 03.0 03.0 00.00 02.50 02.90 999 1021.9  09.7  07.4 999.0 99.0
85 07 31 03 180 03.0 03.0 00.10 03.40 03.30 999 1021.8  09.4  07.4 999.0 99.0
85 07 31 04 200 02.0 02.0 00.00 04.00 03.00 999 1021.8  09.4  07.4 999.0 99.0
85 07 31 05 200 01.0 02.0 00.00 04.00 02.90 999 1021.9  09.7  07.3 999.0 99.0
85 07 31 06 000 00.0 02.0 00.00 04.00 03.00 999 1021.8  09.6  07.3 999.0 99.0
85 07 31 07 170 01.0 01.0 00.00 03.10 03.00 999 1021.0  10.2  07.3 999.0 99.0
85 07 31 08 100 01.0 02.0 00.00 02.80 02.80 999 1021.0  08.9  07.2 999.0 99.0
85 07 31 09 070 03.0 04.0 00.00 02.80 02.80 999 1021.0  09.1  07.1 999.0 99.0
85 07 31 10 110 02.0 02.0 00.00 02.70 02.80 999 1021.0  08.8  07.1 999.0 99.0
85 07 31 11 150 03.0 04.0 00.00 02.70 02.80 999 1020.8  08.6  07.1 999.0 99.0
85 07 31 12 100 01.0 02.0 00.00 02.60 02.70 999 1021.6  09.0  07.1 999.0 99.0
85 07 31 13 000 00.0 01.0 00.00 02.60 02.70 999 1021.8  10.0  07.3 999.0 99.0
85 07 31 14 130 01.0 01.0 00.00 02.50 02.70 999 1022.3  10.2  07.4 999.0 99.0
85 07 31 15 020 01.0 02.0 00.00 02.50 02.70 999 1022.6  09.9  07.7 999.0 99.0
85 07 31 16 050 01.0 01.0 00.00 02.50 02.80 999 1022.6  09.3  07.8 999.0 99.0
85 07 31 17 000 00.0 01.0 00.10 04.30 03.70 999 1022.6  10.4  07.8 999.0 99.0
85 07 31 18 350 01.0 01.0 00.10 04.50 03.60 999 1022.5  11.7  07.8 999.0 99.0
85 07 31 19 330 01.0 01.0 00.10 04.20 03.40 999 1022.5  12.1  07.9 999.0 99.0
85 07 31 20 260 01.0 02.0 00.00 02.90 03.20 999 1022.6  12.0  07.8 999.0 99.0
85 07 31 21 260 02.0 03.0 00.00 04.30 03.50 999 1022.6  12.0  07.5 999.0 99.0
85 07 31 22 280 02.0 02.0 00.00 04.30 03.10 999 1022.3  12.5 999.0 999.0 99.0
85 07 31 23 270 03.0 03.0 00.00 02.90 02.90 999 1022.2  12.8 999.0 999.0 99.0
85 08 01 00 280 02.0 02.0 00.00 02.70 02.70 999 1021.8  13.2  08.8 999.0 99.0
85 08 01 01 250 03.0 03.0 00.00 02.60 02.70 999 1021.7  12.5  09.1 999.0 99.0
85 08 01 02 270 03.0 03.0 00.10 03.10 03.10 999 1021.7  12.0  09.3 999.0 99.0
85 08 01 03 290 03.0 03.0 00.00 02.90 02.90 999 1022.3  11.5  09.4 999.0 99.0
