YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
81 06 22 21 300 03.1 04.4 00.20 02.90 02.90 999 1014.1  05.9  04.3 999.0 99.0
81 06 22 22 294 01.3 02.5 00.20 02.60 02.80 999 1014.1  06.2  03.5 999.0 99.0
81 06 22 23 325 02.5 02.8 00.20 02.90 02.80 999 1015.1  05.8  04.1 999.0 99.0
81 06 23 00 257 03.0 03.5 00.20 04.30 03.10 999 1014.5  06.3  04.1 999.0 99.0
81 06 23 01 353 00.3 03.8 00.10 02.60 02.90 999 1015.2  07.3  04.1 999.0 99.0
81 06 23 02 353 00.0 00.0 00.10 02.80 02.80 999 1015.6  06.5  04.1 999.0 99.0
81 06 23 03 249 02.7 03.0 00.10 04.20 02.80 999 1016.2  05.3  04.1 999.0 99.0
81 06 23 04 237 02.2 02.6 00.10 03.20 02.90 999 1016.1  05.1  04.0 999.0 99.0
81 06 23 05 244 02.9 03.5 00.10 03.30 02.90 999 1016.1  05.9  04.0 999.0 99.0
81 06 23 06 154 01.6 02.4 00.10 02.60 02.80 999 1016.4  05.0  04.0 999.0 99.0
81 06 23 07 159 01.8 02.2 00.10 02.00 02.40 999 1016.4  05.0  03.9 999.0 99.0
81 06 23 08 173 02.9 03.2 00.10 02.20 02.40 999 1016.7  05.1  03.9 999.0 99.0
81 06 23 09 195 03.5 04.0 00.10 03.60 02.80 999 1017.1  05.3  03.9 999.0 99.0
81 06 23 10 207 03.5 03.9 00.10 04.80 03.40 999 1017.2  05.6  03.9 999.0 99.0
81 06 23 11 197 04.0 04.5 00.10 03.40 02.90 999 1017.3  05.7  03.9 999.0 99.0
81 06 23 12 193 03.2 03.6 00.10 03.70 03.00 999 1017.4  06.1  04.0 999.0 99.0
81 06 23 13 211 03.1 03.5 00.10 03.40 03.00 999 1018.4  05.8  04.0 999.0 99.0
81 06 23 14 208 03.7 04.2 00.00 03.20 02.70 999 1018.5  06.3  04.0 999.0 99.0
81 06 23 15 215 03.4 04.2 00.00 02.10 02.20 999 1018.1  06.6  04.0 999.0 99.0
81 06 23 16 212 04.5 05.4 00.20 02.30 02.60 999 1017.6  06.6  04.1 999.0 99.0
81 06 23 17 217 03.6 04.1 00.10 02.00 02.20 999 1018.0  07.0  04.1 999.0 99.0
81 06 23 18 173 00.4 01.8 00.10 02.30 02.30 999 1018.0  07.1  04.0 999.0 99.0
81 06 23 19 202 02.7 03.0 00.00 03.80 02.40 999 1017.4  07.8  04.1 999.0 99.0
81 06 23 20 187 02.2 02.8 00.00 02.20 02.20 999 1016.8  09.7  04.2 999.0 99.0
81 06 23 21 118 01.7 01.9 00.10 02.20 02.30 999 1015.7  08.9 999.0 999.0 99.0
81 06 23 22 121 02.8 03.5 00.10 03.80 03.00 999 1016.3  06.4  04.1 999.0 99.0
81 06 23 23 133 03.0 03.5 00.00 02.30 02.30 999 1015.5  05.7  04.1 999.0 99.0
81 06 24 00 122 01.4 01.8 99.00 99.00 99.00 999 1015.9  05.4  04.0 999.0 99.0
81 06 24 01 152 03.2 03.8 00.10 04.30 03.00 999 1015.0  06.1  04.1 999.0 99.0
81 06 24 02 149 03.1 03.5 99.00 99.00 99.00 999 1014.6  06.8  04.1 999.0 99.0
81 06 24 03 104 04.5 05.1 00.10 04.30 04.20 999 1014.2  06.8  04.0 999.0 99.0
81 06 24 04 109 04.8 05.5 99.00 99.00 99.00 999 1013.6  06.3  04.1 999.0 99.0
81 06 24 05 094 04.8 06.7 00.00 04.00 04.10 999 1013.3  05.9  04.1 999.0 99.0
81 06 24 06 115 04.1 04.5 00.10 03.40 02.90 999 1012.7  07.0  04.0 999.0 99.0
81 06 24 07 083 03.2 03.8 00.20 02.20 02.30 999 1012.0  06.5  04.0 999.0 99.0
81 06 24 08 089 05.3 06.4 00.40 02.50 02.40 999 1010.3  06.7  04.0 999.0 99.0
81 06 24 09 071 07.1 10.0 00.60 02.60 02.60 999 1010.4  06.1  04.0 999.0 99.0
81 06 24 10 999 99.0 99.0 00.90 03.10 02.90 999 1009.3  07.5  04.0 999.0 99.0
81 06 24 11 091 07.4 09.6 01.00 03.70 03.20 999 1009.1  07.5  04.0 999.0 99.0
81 06 24 12 099 07.6 09.7 01.10 04.00 03.40 999 1008.3  07.0  04.0 999.0 99.0
81 06 24 13 102 07.1 09.3 01.20 04.30 03.50 999 1007.4  06.7  04.0 999.0 99.0
81 06 24 14 110 06.1 08.2 01.20 04.50 03.60 999 1006.6  06.5  04.0 999.0 99.0
81 06 24 15 139 04.2 05.6 01.00 04.30 03.50 999 1006.4  06.9  04.0 999.0 99.0
81 06 24 16 241 06.6 08.4 00.80 04.30 03.60 999 1006.2  07.5  04.1 999.0 99.0
81 06 24 17 273 06.8 09.3 00.90 03.00 03.10 999 1008.0  05.7  04.1 999.0 99.0
81 06 24 18 282 05.9 07.8 01.00 03.80 03.30 999 1009.0  05.5  04.1 999.0 99.0
81 06 24 19 320 03.9 05.4 00.90 04.20 03.40 999 1009.4  05.7  04.1 999.0 99.0
81 06 24 20 315 00.7 01.7 00.80 04.20 03.40 999 1009.6  06.3  04.1 999.0 99.0
81 06 24 21 263 00.1 01.0 00.70 04.30 03.40 999 1009.6  06.5  04.2 999.0 99.0
81 06 24 22 053 03.0 05.0 00.50 03.30 03.30 999 1010.1  06.8  02.8 999.0 99.0
81 06 24 23 059 05.1 07.0 00.50 04.00 03.40 999 1011.3  05.6  03.7 999.0 99.0
81 06 25 00 070 06.2 08.4 00.50 04.30 03.30 999 1011.4  05.3  04.1 999.0 99.0
81 06 25 01 070 04.1 06.0 00.70 04.50 03.20 999 1012.3  05.9  04.0 999.0 99.0
81 06 25 02 066 04.3 05.8 00.80 03.60 03.30 999 1012.6  06.1  04.0 999.0 99.0
81 06 25 03 072 03.4 04.6 00.70 03.70 03.30 999 1014.0  05.8  04.0 999.0 99.0
81 06 25 04 079 02.6 03.7 00.70 03.40 03.30 999 1014.4  05.9  04.0 999.0 99.0
81 06 25 05 079 01.3 01.8 00.60 05.60 03.60 999 1014.8  06.0  04.0 999.0 99.0
81 06 25 06 353 00.0 00.2 00.60 05.30 03.60 999 1015.3  06.4  04.0 999.0 99.0
81 06 25 07 261 02.4 03.3 00.50 05.30 04.00 999 1015.8  05.6  04.0 999.0 99.0
81 06 25 08 278 03.8 04.5 00.40 05.30 03.90 999 1016.2  05.3  04.0 999.0 99.0
81 06 25 09 279 01.2 01.9 00.40 05.60 04.20 999 1016.2  05.3  04.0 999.0 99.0
81 06 25 10 282 03.4 04.1 00.40 05.30 04.00 999 1016.5  05.2  04.0 999.0 99.0
81 06 25 11 310 03.7 04.4 00.40 05.30 04.20 999 1017.4  05.6  03.9 999.0 99.0
81 06 25 12 310 02.0 99.0 99.00 99.00 99.00 999 9999.0  05.6  04.0 999.0 99.0
81 06 25 13 350 01.0 99.0 99.00 99.00 99.00 999 9999.0  05.7  04.1 999.0 99.0
81 06 25 14 001 00.9 01.8 00.30 05.30 04.00 999 1018.5  06.1  04.0 999.0 99.0
81 06 25 15 263 01.5 02.3 00.30 05.30 04.40 999 1019.2  06.1  04.1 999.0 99.0
81 06 25 16 270 01.0 01.5 00.30 05.30 04.60 999 1019.6  06.6  04.2 999.0 99.0
81 06 25 17 353 00.0 00.3 00.30 05.30 04.40 999 1020.0  06.8  04.5 999.0 99.0
81 06 25 18 173 00.2 00.8 00.30 05.00 04.30 999 1019.9  07.8 999.0 999.0 99.0
81 06 25 19 258 01.2 02.4 00.30 04.50 04.10 999 1020.2  07.1  04.7 999.0 99.0
81 06 25 20 257 01.0 02.0 00.30 04.80 04.20 999 1019.9  08.1  05.2 999.0 99.0
81 06 25 21 206 03.4 03.9 00.20 04.80 04.20 999 1019.9  08.0 999.0 999.0 99.0
81 06 25 22 193 02.5 03.1 00.20 04.50 04.10 999 1020.0  07.2  05.4 999.0 99.0
81 06 25 23 217 02.8 03.3 00.20 04.50 04.20 999 1020.0  07.3  05.2 999.0 99.0
81 06 26 00 260 01.6 02.7 00.20 04.30 03.90 999 1020.4  07.3  05.1 999.0 99.0
81 06 26 01 027 01.9 02.4 00.20 04.30 03.90 999 1020.4  06.3  05.0 999.0 99.0
81 06 26 02 353 00.0 00.0 00.20 04.30 03.90 999 1020.3  05.5  04.7 999.0 99.0
81 06 26 03 279 03.1 04.5 00.10 04.20 03.70 999 1021.1  05.6  04.8 999.0 99.0
81 06 26 04 261 02.4 02.9 00.10 04.20 03.70 999 1021.1  05.6  04.4 999.0 99.0
81 06 26 05 299 02.8 03.1 00.10 03.40 03.50 999 1021.0  06.9  04.6 999.0 99.0
81 06 26 06 275 02.8 03.7 00.10 04.00 03.50 999 1021.1  07.3  04.7 999.0 99.0
81 06 26 07 297 01.9 02.3 00.10 03.80 03.40 999 1021.3  06.6  04.6 999.0 99.0
81 06 26 08 238 02.3 03.0 00.10 02.70 03.00 999 1021.4  07.3  04.6 999.0 99.0
81 06 26 09 242 00.6 01.5 00.10 04.20 03.80 999 1021.8  06.5  04.0 999.0 99.0
81 06 26 10 182 02.1 02.5 00.00 03.40 03.30 999 1022.1  05.8  04.5 999.0 99.0
81 06 26 11 184 01.8 02.7 00.00 02.60 02.70 999 1022.6  04.7  04.4 999.0 99.0
81 06 26 12 173 01.2 03.1 00.10 04.50 04.00 999 1023.0  05.2  04.3 999.0 99.0
81 06 26 13 197 01.9 02.6 00.00 03.10 02.80 999 1023.1  05.6  04.3 999.0 99.0
81 06 26 14 213 01.5 02.6 00.10 04.20 03.20 999 1023.1  07.1  04.2 999.0 99.0
81 06 26 15 231 01.0 01.6 00.00 02.50 02.50 999 1023.0  07.4  03.9 999.0 99.0
81 06 26 16 079 01.3 03.3 00.00 04.20 04.20 999 1023.4  07.0  04.4 999.0 99.0
81 06 26 17 096 01.4 02.5 00.00 04.20 04.20 999 1023.4  05.8  04.5 999.0 99.0
81 06 26 18 094 02.8 03.3 99.00 99.00 99.00 999 1023.2  05.2 999.0 999.0 99.0
81 06 26 19 078 01.2 01.8 00.00 03.60 03.50 999 1022.9  06.3  04.8 999.0 99.0
81 06 26 20 053 02.1 02.8 00.00 04.80 02.80 999 1022.8  05.8  04.8 999.0 99.0
81 06 26 22 083 00.3 01.3 00.00 02.60 02.60 999 1022.3  05.8  04.8 999.0 99.0
81 06 26 23 087 03.3 03.9 00.00 02.10 02.10 999 1021.5  05.8  04.9 999.0 99.0
81 06 27 00 114 01.3 02.2 99.00 99.00 99.00 999 1021.5  05.5  04.7 999.0 99.0
81 06 27 01 093 02.6 03.2 00.00 03.80 03.80 999 1020.9  05.0  04.0 999.0 99.0
81 06 27 02 083 01.0 02.3 99.00 99.00 99.00 999 1020.6  05.0  04.7 999.0 99.0
81 06 27 03 083 01.5 02.3 99.00 99.00 99.00 999 1020.8  05.2  04.5 999.0 99.0
81 06 27 04 083 00.9 01.9 99.00 99.00 99.00 999 1020.6  05.5  04.4 999.0 99.0
81 06 27 05 047 02.7 03.9 00.00 03.30 03.10 999 1020.2  05.7  04.5 999.0 99.0
81 06 27 06 025 02.9 03.7 00.00 04.20 03.20 999 1019.9  05.3  04.6 999.0 99.0
81 06 27 07 049 04.2 05.1 00.20 03.20 03.30 999 1019.5  05.2  04.4 999.0 99.0
81 06 27 08 060 02.5 03.8 00.10 05.00 03.10 999 1019.4  05.0  04.3 999.0 99.0
81 06 27 09 065 01.4 02.4 00.10 04.80 02.60 999 1019.4  05.2  04.3 999.0 99.0
81 06 27 10 057 00.2 01.6 00.10 02.10 02.30 999 1019.4  05.7  04.2 999.0 99.0
81 06 27 11 117 01.5 02.5 00.10 02.20 02.30 999 1019.2  06.1  04.3 999.0 99.0
81 06 27 12 176 04.2 04.7 00.00 02.10 02.20 999 1019.7  07.5  04.4 999.0 99.0
81 06 27 13 168 03.4 04.0 00.00 02.20 02.20 999 1019.6  07.2  04.4 999.0 99.0
81 06 27 14 166 02.6 03.2 00.00 02.00 02.20 999 1019.4  08.2  04.4 999.0 99.0
81 06 27 15 353 00.2 01.1 00.00 02.50 02.80 999 1019.2  08.6  04.3 999.0 99.0
81 06 27 16 353 00.1 00.4 00.10 04.30 03.00 999 1018.4  07.5  04.7 999.0 99.0
81 06 27 17 133 03.1 03.8 00.10 02.60 02.70 999 1017.7  07.0  04.7 999.0 99.0
81 06 27 18 128 03.8 04.2 00.10 02.60 02.50 999 1017.6  07.8  04.8 999.0 99.0
81 06 27 19 125 04.4 05.1 00.20 02.40 02.70 999 1016.6  08.4  04.6 999.0 99.0
81 06 27 20 126 05.4 05.9 00.20 02.40 02.60 999 1015.9  08.3  04.4 999.0 99.0
81 06 27 21 125 04.7 05.2 00.20 02.50 02.50 999 1015.2  08.0  04.6 999.0 99.0
81 06 27 22 126 03.4 03.8 00.10 02.40 02.40 999 1014.9  07.8  04.2 999.0 99.0
81 06 27 23 137 03.6 04.4 00.10 02.70 02.40 999 1014.2  07.9  04.5 999.0 99.0
81 06 28 00 139 04.2 04.6 00.20 02.20 02.30 999 1013.5  08.7  04.4 999.0 99.0
81 06 28 01 167 03.7 04.2 00.10 02.40 02.30 999 1013.3  09.2  04.1 999.0 99.0
81 06 28 02 160 05.5 06.0 00.20 02.40 02.40 999 1013.0  09.4  04.6 999.0 99.0
81 06 28 03 164 05.3 05.8 00.20 02.50 02.50 999 1013.0  09.8  04.8 999.0 99.0
81 06 28 04 157 05.3 05.8 00.20 02.60 02.60 999 1012.3  09.8  04.9 999.0 99.0
81 06 28 05 153 03.3 04.0 00.20 02.50 02.40 999 1012.4  08.9  04.9 999.0 99.0
81 06 28 06 167 03.9 04.6 00.20 02.50 02.50 999 1012.8  08.5  05.0 999.0 99.0
81 06 28 07 162 04.9 06.2 00.30 02.50 02.60 999 1012.2  09.1  05.1 999.0 99.0
81 06 28 08 148 06.6 07.6 00.40 02.50 02.60 999 1011.0  09.5  05.2 999.0 99.0
81 06 28 09 151 06.1 07.1 00.40 02.40 02.80 999 1010.1  09.6  05.2 999.0 99.0
81 06 28 10 151 05.8 06.7 00.50 02.80 02.80 999 1010.1  09.3  05.2 999.0 99.0
81 06 28 11 146 04.6 05.3 00.50 04.00 03.10 999 1010.1  08.7  05.2 999.0 99.0
81 06 28 12 148 03.7 04.3 00.50 04.00 03.00 999 1009.7  08.8  05.2 999.0 99.0
81 06 28 13 159 03.1 04.0 00.40 03.60 02.90 999 1009.7  08.9  05.1 999.0 99.0
81 06 28 14 150 01.9 02.6 00.40 03.30 02.90 999 1008.9  09.6  05.1 999.0 99.0
81 06 28 15 164 05.9 06.5 00.30 02.60 02.80 999 1007.2  09.5  05.2 999.0 99.0
81 06 28 16 166 02.5 03.0 00.30 03.20 02.90 999 1008.1  08.6  05.2 999.0 99.0
81 06 28 17 008 02.1 03.7 00.40 03.00 02.90 999 1008.1  09.1  05.2 999.0 99.0
81 06 28 18 052 01.3 02.0 00.30 03.30 02.90 999 1007.4  10.9  05.3 999.0 99.0
81 06 28 19 093 02.7 03.1 00.30 03.40 02.90 999 1007.0  07.8  05.3 999.0 99.0
81 06 28 20 033 03.4 05.3 00.20 02.70 03.10 999 1007.6  09.8  04.9 999.0 99.0
81 06 28 21 118 03.7 04.6 00.20 03.40 03.00 999 1007.3  09.0  05.3 999.0 99.0
81 06 28 22 140 03.0 03.3 00.20 02.60 02.90 999 1007.4  08.1  05.4 999.0 99.0
81 06 28 23 146 03.5 04.4 00.20 03.00 02.90 999 1007.2  07.8  05.3 999.0 99.0
81 06 29 00 170 01.7 02.7 00.20 02.70 02.80 999 1007.5  07.2  05.3 999.0 99.0
81 06 29 01 190 01.1 02.2 00.20 02.40 02.80 999 1007.8  07.8  05.3 999.0 99.0
81 06 29 02 023 03.3 04.2 00.20 04.30 03.10 999 1007.0  07.4  05.3 999.0 99.0
81 06 29 03 073 01.2 02.0 00.10 02.80 02.80 999 1007.7  07.1  05.3 999.0 99.0
81 06 29 04 158 02.0 03.9 00.10 02.60 02.90 999 1008.3  07.1  05.2 999.0 99.0
81 06 29 05 178 02.6 03.8 00.10 02.60 02.90 999 1009.0  06.5  05.2 999.0 99.0
81 06 29 06 007 01.8 03.2 00.10 04.50 02.90 999 1009.0  07.1  05.1 999.0 99.0
81 06 29 07 235 01.6 02.5 00.10 03.80 03.30 999 1008.9  07.2  05.1 999.0 99.0
