#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 05 14 11 50 315  8.8 10.8  0.99  3.85  3.73 260 1007.2   3.1   2.0 999.0 99.0 99.00
2008 05 14 12 50 314  8.5  9.8  1.20  4.35  3.92 269 1008.1   2.8   2.0 999.0 99.0 99.00
2008 05 14 13 50 309  8.4  9.8  0.96  4.35  3.90 293 1008.9   2.8   2.0 999.0 99.0 99.00
2008 05 14 14 50 315  8.7 10.1  1.15  4.55  4.08 312 1009.2   2.9   2.0 999.0 99.0 99.00
2008 05 14 15 50 304  7.1  9.5  0.98  4.55  3.94 314 1010.4   3.2   2.0 999.0 99.0 99.00
2008 05 14 16 50 280  6.3  7.5  1.00  4.17  4.01 288 1011.0   3.1   2.0 999.0 99.0 99.00
2008 05 14 17 50 269  5.5  6.4  0.94  4.55  4.00 303 1011.5   3.1   2.0 999.0 99.0 99.00
2008 05 14 18 50 276  5.8  6.8  0.85  4.55  4.01 298 1011.5   3.9   2.0 999.0 99.0 99.00
2008 05 14 19 50 285  1.5  2.6  0.77  4.35  3.86 313 1012.4   3.9   2.0 999.0 99.0 99.00
2008 05 14 20 50 224  4.9  5.8  0.70  4.35  3.84 306 1012.6   3.2   2.0 999.0 99.0 99.00
2008 05 14 21 50 224  4.2  5.0  0.57  4.00  3.66 298 1013.3   3.5   2.0 999.0 99.0 99.00
2008 05 14 22 50 270  3.6  4.7  0.58  3.85  3.55 274 1013.4   3.5   2.0 999.0 99.0 99.00
2008 05 14 23 50 251  4.8  5.7  0.65  4.35  3.58 224 1014.1   3.8   2.0 999.0 99.0 99.00
2008 05 15 00 50 236  2.6  3.0  0.71  4.55  3.87 232 1014.9   3.5   2.0 999.0 99.0 99.00
2008 05 15 01 50 223  0.6  0.8  0.64  4.55  3.78 235 1015.8   3.5   2.0 999.0 99.0 99.00
2008 05 15 02 50   6  1.5  1.9  0.64  4.55  3.84 234 1016.3   4.0   2.0 999.0 99.0 99.00
2008 05 15 03 50  39  1.6  1.9  0.61  4.35  3.85 239 1016.3   3.8   1.9 999.0 99.0 99.00
2008 05 15 04 50 180  0.0  0.2  0.49  4.17  3.70 240 1016.5   4.1   1.7 999.0 99.0 99.00
2008 05 15 05 50 127  2.0  2.3  0.44  4.00  3.63 241 1016.5   5.3   1.7 999.0 99.0 99.00
2008 05 15 06 50 162  2.6  2.9  0.38  3.85  3.60 242 1016.8   3.1   1.9 999.0 99.0 99.00
2008 05 15 07 50 165  3.0  3.5  0.34  3.85  3.52 238 1017.1   3.1   2.0 999.0 99.0 99.00
2008 05 15 08 50 166  3.3  3.6  0.29  4.00  3.56 241 1017.3   3.5   2.0 999.0 99.0 99.00
2008 05 15 09 50 157  3.2  3.7  0.27  4.00  3.60 246 1017.4   3.9   2.0 999.0 99.0 99.00
2008 05 15 10 50 149  5.2  6.4  0.27  4.00  3.74 248 1017.9   3.7   2.0 999.0 99.0 99.00
2008 05 15 11 50 149  4.2  4.7  0.26  3.85  3.37 237 1018.0   3.6   2.0 999.0 99.0 99.00
2008 05 15 12 50 127  3.8  4.3  0.27  3.85  3.20 216 1017.9   4.0   2.0 999.0 99.0 99.00
2008 05 15 13 50 142  4.6  5.3  0.27  3.70  3.22 242 1017.9   4.0   2.0 999.0 99.0 99.00
2008 05 15 14 50 142  5.1  5.8  0.26  3.57  3.18 236 1017.4   4.0   2.0 999.0 99.0 99.00
2008 05 15 15 50 143  4.6  5.0  0.27  2.94  3.10 196 1017.3   3.6   2.0 999.0 99.0 99.00
2008 05 15 16 50 154  4.3  4.8  0.29  2.78  3.12 231 1017.1   3.8   2.1 999.0 99.0 99.00
2008 05 15 17 50 152  4.1  4.5  0.24  2.94  3.06 188 1016.5   3.9   2.1 999.0 99.0 99.00
2008 05 15 18 50 172  3.5  3.8  0.23  2.63  2.99 198 1016.3   3.6   2.1 999.0 99.0 99.00
2008 05 15 19 50 187  3.7  4.1  0.22  2.70  2.99 167 1015.5   4.0   2.1 999.0 99.0 99.00
2008 05 15 20 50 186  4.3  5.2  0.23  2.94  3.03 152 1014.7   4.8   2.1 999.0 99.0 99.00
2008 05 15 21 50 173  4.6  5.3  0.31  2.94  2.94 190 1013.8   4.9   2.0 999.0 99.0 99.00
2008 05 15 22 50 153  6.1  7.2  0.34  3.03  2.93 187 1013.0   4.6   2.0 999.0 99.0 99.00
2008 05 15 23 50 157  6.9  8.0  0.44  3.13  3.03 192 1012.3   5.3   2.0 999.0 99.0 99.00
2008 05 16 00 50 169  4.7  5.9  0.38  3.13  3.02 188 1011.7   5.6   2.0 999.0 99.0 99.00
2008 05 16 01 50 176  5.4  6.2  0.37  2.86  3.01 180 1011.5   5.7   2.0 999.0 99.0 99.00
2008 05 16 02 50 190  5.6  6.6  0.39  3.03  3.04 180 1010.9   6.3   2.0 999.0 99.0 99.00
2008 05 16 03 50 315  5.2  6.6  0.42  3.03  3.05 178 1011.5   7.0   2.0 999.0 99.0 99.00
2008 05 16 04 50 346  5.4  5.9  0.33  3.03  3.17 182 1011.5   5.5   2.0 999.0 99.0 99.00
2008 05 16 05 50 354  1.9  3.5  0.29  2.86  3.13 258 1011.4   4.9   2.0 999.0 99.0 99.00
2008 05 16 06 50  47  2.4  2.9  0.27  3.85  3.15  90 1010.7   5.6   2.0 999.0 99.0 99.00
2008 05 16 07 50 334  2.7  3.1  0.22  3.70  3.23  94 1010.7   4.2   2.0 999.0 99.0 99.00
2008 05 16 08 50 291  2.3  2.6  0.22  2.94  3.19 156 1010.9   4.3   2.0 999.0 99.0 99.00
2008 05 16 09 50 306  2.8  3.2  0.18  3.57  3.16  89 1010.7   3.7   2.0 999.0 99.0 99.00
2008 05 16 10 50 339  3.5  4.2  0.16  3.03  3.19 117 1010.7   3.7   2.0 999.0 99.0 99.00
2008 05 16 11 50 342  2.7  3.1  0.17  3.23  3.19  97 1010.9   3.5   2.0 999.0 99.0 99.00
2008 05 16 12 50 332  3.5  3.8  0.17  3.23  3.27 101 1010.9   2.8   2.0 999.0 99.0 99.00
2008 05 16 13 50 343  2.3  2.5  0.17  3.33  3.24 113 1010.9   3.0   2.1 999.0 99.0 99.00
2008 05 16 14 50 333  1.3  1.5  0.14 99.00  3.24 999 1010.1   2.8   2.1 999.0 99.0 99.00
2008 05 16 15 50  54  0.5  0.8  0.13 99.00  3.18 999 1009.9   3.1   2.1 999.0 99.0 99.00
2008 05 16 16 50 101  1.7  2.0  0.14 99.00  3.14 999 1009.2   3.1   2.3 999.0 99.0 99.00
