YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
95 04 13 22 315 06.9 07.8 00.90 04.30 03.80 999 1014.3  02.4  01.4 999.0 99.0
95 04 13 23 314 05.8 06.7 00.90 04.20 03.80 999 1015.3  02.3  01.3 999.0 99.0
95 04 14 00 331 08.2 09.7 00.80 04.30 03.80 999 1016.0  02.7  01.3 999.0 99.0
95 04 14 01 333 08.5 10.1 00.90 04.30 03.80 999 1016.8  02.3  01.3 999.0 99.0
95 04 14 02 333 08.1 09.7 01.00 04.30 03.80 999 1017.7  02.2  01.3 999.0 99.0
95 04 14 03 347 07.0 07.9 00.80 04.20 03.80 999 1018.4  02.0  01.3 999.0 99.0
95 04 14 04 350 05.8 06.6 00.70 04.20 03.70 999 1019.0  01.8  01.3 999.0 99.0
95 04 14 05 003 04.7 05.2 00.70 04.20 03.70 999 1019.3  01.6  01.3 999.0 99.0
95 04 14 06 026 06.0 07.0 00.60 04.00 03.60 999 1019.4  01.5  01.3 999.0 99.0
95 04 14 07 025 06.1 07.2 00.60 03.60 03.50 999 1019.9  01.2  01.3 999.0 99.0
95 04 14 08 031 05.9 06.6 00.70 04.00 03.60 999 1020.4  00.9  01.3 999.0 99.0
95 04 14 09 031 05.2 06.2 00.70 04.00 03.70 999 1020.9  00.4  01.3 999.0 99.0
95 04 14 10 026 05.1 06.0 00.60 04.20 03.70 999 1021.6  00.1  01.3 999.0 99.0
95 04 14 11 023 04.7 05.7 00.70 04.80 03.90 999 1022.2  00.0  01.2 999.0 99.0
95 04 14 12 031 05.1 06.0 00.60 04.80 03.80 999 1022.8 -00.1  01.2 999.0 99.0
95 04 14 13 037 06.5 07.7 00.60 04.30 03.70 999 1023.1 -00.8  01.3 999.0 99.0
95 04 14 14 044 06.8 07.6 00.60 04.30 03.50 999 1023.6 -01.2  01.3 999.0 99.0
95 04 14 15 057 05.2 06.3 00.60 04.30 03.60 999 1024.3 -01.6  01.3 999.0 99.0
95 04 14 16 049 04.3 05.2 00.60 04.20 03.60 999 1024.8 -01.9  01.3 999.0 99.0
95 04 14 17 040 04.3 05.2 00.60 04.30 03.70 999 1024.9 -01.9  01.3 999.0 99.0
95 04 14 18 036 03.5 04.6 00.50 04.00 03.60 999 1024.3 -01.7  01.3 999.0 99.0
95 04 14 19 018 03.7 04.5 00.50 04.20 03.60 999 1024.2 -01.2  01.3 999.0 99.0
95 04 14 20 015 03.5 04.4 00.40 04.00 03.60 999 1023.7 -00.6  01.3 999.0 99.0
95 04 14 21 004 04.1 04.9 00.40 04.00 03.60 999 1023.6 -00.1  01.3 999.0 99.0
95 04 14 22 287 02.4 02.9 00.30 03.80 03.50 999 1023.6  00.5  01.4 999.0 99.0
95 04 14 23 321 02.5 02.9 00.30 03.70 03.50 999 1023.4  00.8  01.4 999.0 99.0
95 04 15 00 331 02.3 02.6 00.20 03.60 03.40 999 1023.5  01.2  01.3 999.0 99.0
95 04 15 01 351 03.4 03.7 00.20 03.40 03.40 999 1023.5  01.0  01.3 999.0 99.0
95 04 15 02 005 03.6 04.0 00.20 03.30 03.40 999 1023.9  01.1  01.3 999.0 99.0
95 04 15 03 029 05.3 06.1 00.00 00.00 00.00 999 1023.9  01.4  01.3 999.0 99.0
95 04 15 04 039 06.2 07.2 00.20 02.60 03.10 999 1023.6  01.4  01.3 999.0 99.0
95 04 15 05 061 07.7 09.0 00.30 02.70 02.80 999 1023.6  02.1  01.3 999.0 99.0
95 04 15 06 071 07.8 09.5 00.50 03.10 03.00 999 1024.0  02.0  01.3 999.0 99.0
95 04 15 07 079 07.4 08.8 00.60 03.60 03.30 999 1024.3  01.6  01.3 999.0 99.0
95 04 15 08 084 06.6 07.9 00.60 03.70 03.40 999 1024.5  01.4  01.3 999.0 99.0
95 04 15 09 084 07.1 08.4 00.80 04.20 03.60 999 1024.8  01.0  01.3 999.0 99.0
95 04 15 10 085 06.5 07.8 00.80 04.30 03.80 999 1025.6  00.5  01.3 999.0 99.0
95 04 15 11 077 07.1 08.4 00.90 04.80 03.80 999 1025.6  00.2  01.3 999.0 99.0
95 04 15 12 072 07.6 09.3 00.90 04.80 04.00 999 1025.8  00.0  01.3 999.0 99.0
95 04 15 13 078 09.2 10.4 00.90 04.80 03.90 999 1025.3  00.1  01.3 999.0 99.0
95 04 15 14 093 09.2 10.9 01.00 04.80 04.00 999 1024.9  00.2  01.3 999.0 99.0
95 04 15 15 091 08.0 09.4 01.00 04.50 03.90 999 1025.1 -00.1  01.3 999.0 99.0
95 04 15 16 083 07.0 08.4 01.20 05.00 04.20 999 1025.6 -00.3  01.3 999.0 99.0
95 04 15 17 072 06.2 07.7 01.00 05.00 04.00 999 1025.5 -00.6  01.3 999.0 99.0
95 04 15 18 068 07.2 08.7 01.00 04.80 04.10 999 1024.4 -00.4  01.3 999.0 99.0
95 04 15 19 081 06.2 07.2 01.10 04.80 04.20 999 1024.2  00.2  01.3 999.0 99.0
95 04 15 20 095 04.2 04.7 00.90 04.80 04.20 999 1023.7  00.6  01.3 999.0 99.0
95 04 15 21 070 02.2 02.7 00.90 04.30 04.10 999 1023.2  01.0  01.4 999.0 99.0
95 04 15 22 057 01.5 01.9 00.70 04.50 04.00 999 1022.4  01.3  01.4 999.0 99.0
95 04 15 23 340 00.8 01.6 00.60 04.30 03.90 999 1022.1  02.2  01.4 999.0 99.0
95 04 16 00 008 03.2 04.0 00.50 04.20 03.80 999 1021.3  01.6  01.4 999.0 99.0
95 04 16 01 019 04.2 05.0 00.40 04.30 03.80 999 1020.6  01.2  01.3 999.0 99.0
95 04 16 02 033 04.7 05.5 00.40 03.70 03.60 999 1020.3  01.5  01.3 999.0 99.0
95 04 16 03 049 06.8 07.8 00.40 03.40 03.30 999 1019.9  02.4  01.3 999.0 99.0
95 04 16 04 061 05.4 06.0 00.50 03.30 03.20 999 1020.6  02.5  01.3 999.0 99.0
95 04 16 05 072 07.3 08.6 00.60 03.30 03.30 999 1020.7  02.6  01.3 999.0 99.0
95 04 16 06 070 07.9 08.9 00.70 03.70 03.50 999 1020.7  02.2  01.3 999.0 99.0
95 04 16 07 072 08.0 09.7 00.90 04.20 03.70 999 1020.5  01.9  01.3 999.0 99.0
95 04 16 08 070 09.9 11.6 01.00 04.80 03.90 999 1020.1  01.5  01.3 999.0 99.0
95 04 16 09 069 09.9 11.8 01.20 04.50 04.10 999 1020.0  01.1  01.3 999.0 99.0
95 04 16 10 071 09.9 12.1 01.40 05.30 04.30 999 1020.5  00.8  01.3 999.0 99.0
95 04 16 11 078 10.9 13.4 01.60 05.30 04.40 999 1020.6  00.5  01.3 999.0 99.0
95 04 16 12 079 10.7 12.9 01.70 05.60 04.60 999 1021.2  00.3  01.3 999.0 99.0
95 04 16 13 075 10.4 12.8 01.60 05.60 04.70 999 1021.6  00.0  01.3 999.0 99.0
95 04 16 14 075 10.0 11.6 01.70 05.90 04.80 999 1021.4  00.0  01.3 999.0 99.0
95 04 16 15 080 09.4 10.7 01.50 05.60 04.60 999 1021.8 -00.3  01.3 999.0 99.0
95 04 16 16 076 08.1 09.6 01.40 05.90 04.60 999 1022.1 -00.3  01.4 999.0 99.0
95 04 16 17 063 07.8 09.5 01.30 05.60 04.50 999 1021.6 -00.1  01.4 999.0 99.0
95 04 16 18 066 06.4 07.6 01.20 05.60 04.40 999 1021.7  00.2  01.4 999.0 99.0
95 04 16 19 062 06.0 06.7 01.20 05.30 04.40 999 1021.3  00.5  01.4 999.0 99.0
95 04 16 20 066 04.9 05.7 01.00 05.00 04.20 999 1020.8  01.0  01.4 999.0 99.0
95 04 16 21 084 01.6 02.1 00.80 04.80 04.10 999 1021.3  01.4  01.4 999.0 99.0
95 04 16 22 048 02.7 03.0 00.70 04.50 04.00 999 1020.5  01.5  01.4 999.0 99.0
95 04 16 23 004 01.9 02.5 00.60 04.50 03.90 999 1020.3  01.7  01.4 999.0 99.0
95 04 17 00 334 01.7 02.1 00.50 03.80 03.80 999 1019.9  01.7  01.4 999.0 99.0
95 04 17 01 347 03.2 03.9 00.50 04.20 03.70 999 1020.0  01.6  01.4 999.0 99.0
95 04 17 02 025 04.0 04.8 00.40 04.20 03.70 999 1019.7  01.5  01.4 999.0 99.0
95 04 17 03 024 04.5 05.1 00.30 03.60 03.50 999 1019.2  01.6  01.4 999.0 99.0
