#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 05 12 14 50 168  2.8  3.5  0.19 99.00  2.50 999 1021.4   3.2   2.1 999.0 99.0 99.00
2009 05 12 15 50 117  3.7  4.1  0.21 99.00  2.57 999 1020.9   3.0   2.1 999.0 99.0 99.00
2009 05 12 16 50 121  4.8  5.4 99.00 99.00 99.00 999 1020.4   3.0   2.1 999.0 99.0 99.00
2009 05 12 17 50 114  4.7  5.4  0.28  3.03  2.67 999 1019.9   3.0   2.1 999.0 99.0 99.00
2009 05 12 18 50 110  5.8  6.4  0.34  2.86  2.65 999 1019.4   3.3   2.1 999.0 99.0 99.00
2009 05 12 19 50 105  5.3  5.9  0.37  3.23  2.73 999 1018.8   3.6   2.1 999.0 99.0 99.00
2009 05 12 20 50 100  6.6  7.3  0.41  2.94  2.72 999 1017.5   4.0   2.1 999.0 99.0 99.00
2009 05 12 21 50 106  6.7  7.4  0.48  3.33  2.87 999 1016.6   3.9   2.1 999.0 99.0 99.00
2009 05 12 22 50 112  7.3  8.2  0.54  3.45  2.96 999 1016.0   4.4   2.1 999.0 99.0 99.00
2009 05 12 23 50 116  6.9  8.0  0.59  3.45  3.04 999 1015.0   5.0   2.1 999.0 99.0 99.00
2009 05 13 00 50 143  7.4  8.6  0.68  3.45  3.09 999 1014.2   6.0   2.1 999.0 99.0 99.00
2009 05 13 01 50 161  7.7  8.6  0.79  3.85  3.25 999 1014.7   5.7   2.1 999.0 99.0 99.00
2009 05 13 02 50 161  8.1  9.3  0.86  3.70  3.33 999 1015.4   6.1   2.1 999.0 99.0 99.00
2009 05 13 03 50 153  7.3  9.0  0.82  3.85  3.35 999 1015.1   5.6   2.1 999.0 99.0 99.00
2009 05 13 04 50 151  7.9  9.4  0.91  3.85  3.37 999 1014.9   5.7   2.1 999.0 99.0 99.00
2009 05 13 05 50 146  9.4 10.6  0.95  4.00  3.46 999 1014.1   5.7   2.1 999.0 99.0 99.00
2009 05 13 06 50 148  9.9 11.4  1.26  4.00  3.75 999 1013.3   5.8   2.1 999.0 99.0 99.00
2009 05 13 07 50 150  9.0 10.3  1.45  4.55  3.98 999 1012.8   5.6   2.1 999.0 99.0 99.00
2009 05 13 08 50 142 10.4 11.9  1.28  4.55  3.77 999 1011.9   5.3   2.1 999.0 99.0 99.00
2009 05 13 09 50 151 10.5 12.2  1.41  4.76  3.88 999 1011.3   5.6   2.1 999.0 99.0 99.00
2009 05 13 10 50 157 11.4 13.5  1.61  5.00  4.07 999 1010.3   5.9   2.1 999.0 99.0 99.00
2009 05 13 11 50 158 10.8 12.6  1.61  5.00  4.16 999 1010.0   5.9   2.1 999.0 99.0 99.00
2009 05 13 12 50 156  9.6 11.0  1.47  5.26  4.13 999 1009.6   5.8   2.1 999.0 99.0 99.00
2009 05 13 13 50 148  9.4 10.8  1.62  5.26  4.17 999 1008.5   5.6   2.1 999.0 99.0 99.00
2009 05 13 14 50 146  9.5 11.2  1.46  4.76  4.17 999 1007.5   5.8   2.1 999.0 99.0 99.00
2009 05 13 15 50 143  9.0 10.3  1.38  4.76  4.07 999 1006.2   5.7   2.1 999.0 99.0 99.00
2009 05 13 16 50 157 10.1 11.3  1.34  4.76  4.05 999 1005.0   6.1   2.1 999.0 99.0 99.00
2009 05 13 17 50 167 10.5 13.0  1.74  5.00  4.24 999 1004.5   6.1   2.1 999.0 99.0 99.00
2009 05 13 18 50 174 11.7 13.5  1.79  5.26  4.44 999 1003.9   5.7   2.1 999.0 99.0 99.00
2009 05 13 19 50 171  9.9 11.9  2.29  5.88  4.94 999 1003.6   5.4   2.1 999.0 99.0 99.00
2009 05 13 20 50 170  9.4 10.6  1.96  6.25  4.70 999 1002.8   5.9   2.1 999.0 99.0 99.00
2009 05 13 21 50 179  7.6  8.9  2.11  5.88  4.95 999 1002.4   5.7   2.1 999.0 99.0 99.00
2009 05 13 22 50 179  6.3  7.0  1.89  5.88  4.82 999 1002.3   4.8   2.1 999.0 99.0 99.00
2009 05 13 23 50 179  7.0  8.3  1.53  5.88  4.51 999 1001.7   5.2   2.1 999.0 99.0 99.00
2009 05 14 00 50 161  6.6  7.5  1.45  5.56  4.42 999 1000.6   4.9   2.1 999.0 99.0 99.00
2009 05 14 01 50 166  7.4  8.7  1.29  5.26  4.23 999  999.7   5.6   2.1 999.0 99.0 99.00
2009 05 14 02 50 185  9.0 10.7  1.34  5.26  3.91 999  999.4   5.9   2.1 999.0 99.0 99.00
2009 05 14 04 50 177  7.3  8.0  1.01  4.76  3.85 999  997.6   4.9   2.1 999.0 99.0 99.00
2009 05 14 05 50 143  9.2 10.6  1.00  4.76  3.62 999  994.5   5.5   2.1 999.0 99.0 99.00
2009 05 14 06 50 154  7.5  8.8  0.95  4.76  3.71 999  993.4   5.6   2.1 999.0 99.0 99.00
2009 05 14 07 50 238 10.0 16.1  0.86  4.35  3.65 999  993.9   5.5   2.1 999.0 99.0 99.00
2009 05 14 08 50 244  7.9  9.1  0.80  3.85  3.53 999  993.7   5.8   2.1 999.0 99.0 99.00
2009 05 14 09 50 280  8.8 10.3  0.91  3.45  3.38 999  993.4   5.6   2.1 999.0 99.0 99.00
2009 05 14 10 50 272  8.5  9.9  0.96  3.85  3.38 999  994.7   5.2   2.1 999.0 99.0 99.00
2009 05 14 11 50 289  9.6 11.5  1.12  3.70  3.54 999  996.3   4.5   2.1 999.0 99.0 99.00
2009 05 14 12 50 296 10.0 11.9  1.40  4.35  3.71 999  998.9   3.8   2.1 999.0 99.0 99.00
2009 05 14 13 50 289 12.2 14.8  1.81  5.26  4.22 999 1000.8   2.9   2.1 999.0 99.0 99.00
2009 05 14 14 50 285 12.6 15.3  1.85  5.88  4.38 999 1002.3   3.3   2.1 999.0 99.0 99.00
2009 05 14 15 50 288 12.2 14.6  2.24  6.25  4.85 999 1004.3   3.2   2.2 999.0 99.0 99.00
2009 05 14 16 50 286 12.7 15.0  2.31  6.25  4.93 999 1006.2   3.3   2.2 999.0 99.0 99.00
2009 05 14 17 50 274 10.7 13.0  2.20  6.25  4.80 999 1008.6   3.1   2.2 999.0 99.0 99.00
2009 05 14 18 50 276 11.8 13.8  2.26  6.25  4.88 999 1010.5   3.2   2.2 999.0 99.0 99.00
2009 05 14 19 50 275 11.7 15.3  2.73  6.25  5.32 999 1012.6   3.3   2.2 999.0 99.0 99.00
2009 05 14 20 50 271 12.3 14.5  3.00  7.69  5.51 999 1014.0   3.4   2.2 999.0 99.0 99.00
2009 05 14 21 50 269 11.5 14.4  2.90  6.67  5.47 999 1015.6   3.5   2.2 999.0 99.0 99.00
2009 05 14 22 50 269 11.6 13.4  2.81  7.69  5.52 999 1016.4   3.5   2.2 999.0 99.0 99.00
2009 05 14 23 50 270 10.8 13.1  2.64  7.14  5.29 999 1017.4   3.7   2.2 999.0 99.0 99.00
2009 05 15 00 50 273  8.2  9.9  2.45  7.69  5.27 999 1018.2   3.3   2.2 999.0 99.0 99.00
2009 05 15 01 50 281  8.1  9.4  2.01  7.14  5.10 999 1019.0   3.0   2.2 999.0 99.0 99.00
2009 05 15 02 50 283  8.0  9.3  1.76  7.14  4.81 999 1019.6   2.9   2.2 999.0 99.0 99.00
2009 05 15 03 50 291  6.4  7.6  1.60  6.67  4.82 999 1020.0   2.9   2.2 999.0 99.0 99.00
2009 05 15 04 50 308  5.5  6.2  1.46  5.88  4.71 999 1020.5   2.8   2.2 999.0 99.0 99.00
2009 05 15 05 50 346  4.0  4.8  1.37  7.14  4.86 999 1021.1   2.9   2.2 999.0 99.0 99.00
2009 05 15 06 50  39  3.3  4.2  1.02  7.14  4.68 999 1021.7   2.9   2.1 999.0 99.0 99.00
2009 05 15 07 50  61  2.3  3.0  0.90  6.67  4.49 999 1022.6   2.6   2.1 999.0 99.0 99.00
2009 05 15 08 50  83  3.0  3.8  0.77  6.67  4.49 999 1023.2   2.5   2.1 999.0 99.0 99.00
2009 05 15 09 50 120  2.5  3.0  0.67  5.88  4.47 999 1024.2   2.4   2.1 999.0 99.0 99.00
2009 05 15 10 50 109  4.2  4.8  0.59  6.25  4.30 999 1024.2   2.6   2.1 999.0 99.0 99.00
2009 05 15 11 50 113  5.0  5.7  0.50  5.88  4.34 999 1024.4   2.6   2.1 999.0 99.0 99.00
2009 05 15 12 50 114  5.0  5.7  0.46  5.56  3.97 999 1024.0   2.6   2.2 999.0 99.0 99.00
2009 05 15 13 50 118  4.3  5.0  0.43  5.56  3.46 999 1024.1   2.7   2.2 999.0 99.0 99.00
2009 05 15 14 50  98  4.6  5.4  0.38  5.26  3.23 999 1023.3   2.5   2.2 999.0 99.0 99.00
2009 05 15 15 50 104  6.8  8.1  0.45  2.60  2.86 999 1022.6   2.4   2.3 999.0 99.0 99.00
2009 05 15 16 50 105  7.8  9.1  0.59  3.33  3.07 999 1021.9   2.5   2.2 999.0 99.0 99.00
2009 05 15 17 50 106  8.0  9.3 99.00 99.00 99.00 999 1021.1   2.7   2.3 999.0 99.0 99.00
2009 05 15 18 50  97  8.1  9.3  0.85  3.85  3.37 999 1018.9   3.1   2.2 999.0 99.0 99.00
2009 05 15 19 50 103  7.9  9.0  0.98  4.17  3.49 999 1017.9   3.7   2.2 999.0 99.0 99.00
2009 05 15 20 50 106  8.2  9.3  1.01  4.00  3.53 999 1016.7   4.4   2.2 999.0 99.0 99.00
2009 05 15 21 50 107  8.6  9.8  1.03  4.00  3.59 999 1014.9   4.9   2.2 999.0 99.0 99.00
2009 05 15 22 50 118  9.0 10.5  1.07  4.35  3.61 999 1013.3   5.1   2.2 999.0 99.0 99.00
2009 05 15 23 50 132  7.5  8.8  1.09  4.00  3.67 999 1013.0   5.3   2.2 999.0 99.0 99.00
2009 05 16 00 50 141  7.3  8.4  1.04  4.35  3.77 999 1012.5   5.4   2.2 999.0 99.0 99.00
2009 05 16 01 50 135  8.6 10.5  0.99  4.35  3.66 999 1011.3   5.4   2.2 999.0 99.0 99.00
2009 05 16 02 50 136  8.2  9.1  1.12  4.76  3.78 999 1010.2   5.3   2.2 999.0 99.0 99.00
