YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
89 04 26 23 012 02.9 03.3 00.00 00.00 00.00 999 1017.9  02.0  00.9 999.0 99.0
89 04 27 00 025 02.9 03.7 00.00 00.00 00.00 999 1017.5  02.0  00.9 999.0 99.0
89 04 27 01 006 03.6 04.3 00.00 00.00 00.00 999 1017.9  01.9  00.9 999.0 99.0
89 04 27 02 058 02.0 02.7 00.00 00.00 00.00 999 1017.2  02.3  00.9 999.0 99.0
89 04 27 03 061 02.3 02.5 00.00 00.00 00.00 999 1017.9  02.8  00.9 999.0 99.0
89 04 27 04 019 02.7 03.7 00.00 00.00 00.00 999 1018.2  02.6  00.9 999.0 99.0
89 04 27 05 049 02.6 03.2 00.00 00.00 00.00 999 1018.0  02.3  00.9 999.0 99.0
89 04 27 06 047 03.1 03.5 00.00 00.00 00.00 999 1017.9  02.3  00.9 999.0 99.0
89 04 27 07 340 02.4 03.1 00.00 00.00 00.00 999 1017.9  03.0  00.9 999.0 99.0
89 04 27 08 352 03.1 03.5 00.00 00.00 00.00 999 1018.1  02.1  00.9 999.0 99.0
89 04 27 09 030 04.0 04.6 00.00 00.00 00.00 999 1018.1  02.0  00.9 999.0 99.0
89 04 27 10 042 03.4 03.9 00.00 00.00 00.00 999 1018.1  02.4  00.9 999.0 99.0
89 04 27 11 047 05.0 06.3 00.00 00.00 00.00 999 1017.9  02.4  00.9 999.0 99.0
89 04 27 12 086 05.3 06.0 00.20 02.50 02.60 999 1018.2  02.5  00.9 999.0 99.0
89 04 27 13 065 07.6 08.9 00.30 02.80 02.80 999 1020.3  02.4  00.9 999.0 99.0
89 04 27 14 061 07.0 08.2 00.60 03.40 03.30 999 1021.1  02.1  00.9 999.0 99.0
89 04 27 15 052 08.1 09.6 00.90 04.20 03.70 999 1021.0  02.1  00.9 999.0 99.0
89 04 27 16 061 09.6 11.2 01.10 04.50 04.00 999 1021.2  02.1  00.9 999.0 99.0
89 04 27 17 053 09.7 11.3 01.10 04.80 04.10 999 1021.4  02.0  00.9 999.0 99.0
89 04 27 18 052 09.2 10.8 01.30 05.00 04.20 999 1021.8  02.1  00.9 999.0 99.0
89 04 27 19 058 10.3 12.9 01.30 05.00 04.30 999 1021.2  02.3  00.9 999.0 99.0
89 04 27 20 055 10.4 12.8 01.40 05.30 04.40 999 1021.2  02.4  00.9 999.0 99.0
89 04 27 21 065 08.2 09.4 01.10 05.00 04.10 999 1021.6  02.4  00.9 999.0 99.0
89 04 27 23 095 06.5 07.5 00.80 05.00 03.90 999 1021.2  02.7  00.9 999.0 99.0
89 04 28 00 084 05.6 06.3 00.70 04.50 03.80 999 1020.8  02.5  00.9 999.0 99.0
89 04 28 01 090 05.2 06.2 00.60 04.50 03.70 999 1020.6  02.4  00.9 999.0 99.0
89 04 28 02 089 03.6 04.2 00.50 04.30 03.60 999 1020.8  02.2  00.9 999.0 99.0
89 04 28 03 045 03.3 04.0 00.40 04.30 03.60 999 1020.6  02.0  00.9 999.0 99.0
89 04 28 05 055 03.5 04.1 00.30 04.00 03.50 999 1019.7  01.7  00.9 999.0 99.0
